Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

J1         DCJ25                134.75mm      107.55mm       132.4mm      107.55mm       137.1mm      110.65mm  T        270.00 DCJ25          
rep2       REPER1.2            142.975mm      113.85mm     142.975mm      113.85mm     142.975mm      113.85mm  T         90.00 REPER1.2       
rep1       REPER1.2               57.4mm      81.125mm        57.4mm      81.125mm        57.4mm      81.125mm  T         90.00 REPER1.2       
X21        PIN_1mm             119.575mm      78.875mm     119.575mm      78.875mm     119.575mm      78.875mm  T          0.00 PIN_1mm        
X20        PIN_1mm               106.4mm        78.9mm       106.4mm        78.9mm       106.4mm        78.9mm  T         90.00 PIN_1mm        
X19        PIN_1mm                93.9mm        78.9mm        93.9mm        78.9mm        93.9mm        78.9mm  T          0.00 PIN_1mm        
X18        PIN_1mm               82.25mm        78.9mm       82.25mm        78.9mm       82.25mm        78.9mm  T          0.00 PIN_1mm        
X17        PIN_1mm                  71mm      78.875mm          71mm      78.875mm          71mm      78.875mm  T          0.00 PIN_1mm        
X16        SJ-43516-SMT           73.1mm       105.9mm        69.4mm      114.05mm        69.4mm      114.05mm  T        270.00 SJ-43516-SMT   
X15        PIN_1mm              60.025mm      78.875mm      60.025mm      78.875mm      60.025mm      78.875mm  T          0.00 PIN_1mm        
X14        PIN_1mm             117.075mm      83.875mm     117.075mm      83.875mm     117.075mm      83.875mm  T          0.00 PIN_1mm        
X13        PIN_1mm               103.9mm        83.9mm       103.9mm        83.9mm       103.9mm        83.9mm  T          0.00 PIN_1mm        
X12        PIN_1mm             114.575mm      78.875mm     114.575mm      78.875mm     114.575mm      78.875mm  T          0.00 PIN_1mm        
X11        SJ-43516-SMT        113.275mm       105.9mm     109.575mm      114.05mm     109.575mm      114.05mm  T        270.00 SJ-43516-SMT   
X10        PIN_1mm                91.4mm        83.9mm        91.4mm        83.9mm        91.4mm        83.9mm  T          0.00 PIN_1mm        
X9         PIN_1mm               101.4mm        78.9mm       101.4mm        78.9mm       101.4mm        78.9mm  T          0.00 PIN_1mm        
X8         PIN_1mm               79.75mm        83.9mm       79.75mm        83.9mm       79.75mm        83.9mm  T          0.00 PIN_1mm        
X7         PIN_1mm                88.9mm        78.9mm        88.9mm        78.9mm        88.9mm        78.9mm  T          0.00 PIN_1mm        
X6         PIN_1mm               77.25mm        78.9mm       77.25mm        78.9mm       77.25mm        78.9mm  T          0.00 PIN_1mm        
X5         PIN_1mm              68.475mm      83.875mm      68.475mm      83.875mm      68.475mm      83.875mm  T          0.00 PIN_1mm        
X4         PIN_1mm                  66mm      78.875mm          66mm      78.875mm          66mm      78.875mm  T          0.00 PIN_1mm        
X3         SJ-43516-SMT         94.925mm       105.9mm      91.225mm      114.05mm      91.225mm      114.05mm  T        270.00 SJ-43516-SMT   
X2         PIN_1mm              57.525mm      83.875mm      57.525mm      83.875mm      57.525mm      83.875mm  T          0.00 PIN_1mm        
X1         PIN_1mm              55.025mm      78.875mm      55.025mm      78.875mm      55.025mm      78.875mm  T          0.00 PIN_1mm        
VD2        SMA                  139.15mm      99.925mm      139.15mm      99.925mm       137.1mm      99.925mm  T        360.00 S1M            
VD1        LED3                 126.98mm      110.35mm      128.25mm      110.35mm      128.25mm      110.35mm  T        180.00 GNL-3014SRC    
R25        RC0805                125.3mm        91.9mm       125.3mm        91.9mm      126.25mm        91.9mm  T        180.00 10E            
R24        RC0603              127.275mm    105.5497mm     127.275mm      105.55mm     127.275mm     104.775mm  T         90.00 1k             
R23        RC0603              108.725mm     88.8753mm     108.725mm      88.875mm     108.725mm       89.65mm  T        270.00 10k            
R22        RC0603               106.55mm    106.2753mm      106.55mm     106.275mm      106.55mm      107.05mm  T        270.00 10k            
R21        RC0603                108.7mm     92.0003mm       108.7mm          92mm       108.7mm      92.775mm  T        270.00 18k            
R20        RC0603             101.8997mm        96.9mm       101.9mm        96.9mm     101.125mm        96.9mm  T        360.00 10k            
R19        RC0603                 80.3mm    105.0003mm        80.3mm         105mm        80.3mm     105.775mm  T        270.00 10k            
R18        RC0603               95.625mm     89.9753mm      95.625mm      89.975mm      95.625mm       90.75mm  T        270.00 10k            
R17        RC0603              122.375mm    108.4253mm     122.375mm     108.425mm     122.375mm       109.2mm  T        270.00 10k            
R16        RC0603                93.85mm     91.5253mm       93.85mm      91.525mm       93.85mm        92.3mm  T        270.00 10k            
R15        RC0603             112.2003mm      85.675mm       112.2mm      85.675mm     112.975mm      85.675mm  T        180.00 10k            
R14        RC0603                 95.6mm     93.1247mm        95.6mm      93.125mm        95.6mm       92.35mm  T         90.00 10k            
R13        RC0603              99.2003mm      85.675mm        99.2mm      85.675mm      99.975mm      85.675mm  T        180.00 10k            
R12        RC0603              77.7247mm       87.75mm      77.725mm       87.75mm       76.95mm       87.75mm  T        360.00 10k            
R11        RC0603                 86.6mm    102.7747mm        86.6mm     102.775mm        86.6mm         102mm  T         90.00 10k            
R10        RC0603               76.925mm     91.7503mm      76.925mm       91.75mm      76.925mm      92.525mm  T        270.00 10k            
R9         RC0603              86.8003mm       85.65mm        86.8mm       85.65mm      87.575mm       85.65mm  T        180.00 10k            
R8         RC0603              71.4003mm        85.6mm        71.4mm        85.6mm      72.175mm        85.6mm  T        180.00 10k            
R7         RC0603                73.95mm     84.6747mm       73.95mm      84.675mm       73.95mm        83.9mm  T         90.00 10k            
R6         RC0603               63.675mm     89.1753mm      63.675mm      89.175mm      63.675mm       89.95mm  T        270.00 10k            
R5         RC0603             104.3253mm     111.275mm     104.325mm     111.275mm       105.1mm     111.275mm  T        180.00 10k            
R4         RC0603               61.825mm     90.7253mm      61.825mm      90.725mm      61.825mm        91.5mm  T        270.00 10k            
R3         RC0603              63.7253mm      85.675mm      63.725mm      85.675mm        64.5mm      85.675mm  T        180.00 10k            
R2         RC0603              64.5247mm      94.425mm      64.525mm      94.425mm       63.75mm      94.425mm  T          0.00 10k            
R1         RC0603               59.775mm     86.6247mm      59.775mm      86.625mm      59.775mm       85.85mm  T         90.00 10k            
DA3        D-PAK(TO-252AA)     132.075mm      84.775mm     132.075mm      83.525mm     134.355mm      88.025mm  T        270.00 MC78M05CDTRK   
DA2        SO-8                102.994mm      91.395mm       100.2mm        93.3mm       100.2mm        93.3mm  T        270.00 LM358D         
DA1        SO-8                 71.219mm       90.62mm      68.425mm      92.525mm      68.425mm      92.525mm  T        270.00 LM358D         
C24        CC0603               122.45mm       92.75mm      122.45mm       92.75mm      122.45mm        93.6mm  T        270.00 0.1uF          
C22        CC8X3.5              131.45mm      97.675mm      131.45mm      95.925mm      131.45mm      95.925mm  T         90.00 1000uFx10V     
C21        CC0603              129.425mm        90.8mm     129.425mm        90.8mm     130.275mm        90.8mm  T        180.00 0.1uF          
C20        CC0603              133.675mm       90.65mm     133.675mm       90.65mm     132.825mm       90.65mm  T        360.00 0.1uF          
C19        CC8X3.5             139.925mm      93.475mm     138.175mm      93.475mm     138.175mm      93.475mm  T        360.00 100uFx50V      
C17        CC0603                110.5mm        88.8mm       110.5mm        88.8mm       110.5mm       89.65mm  T        270.00 1uF            
C16        CC0603               106.55mm     102.725mm      106.55mm     102.725mm      106.55mm     103.575mm  T        270.00 0.1uF          
C15        CC0603                 80.3mm       108.5mm        80.3mm       108.5mm        80.3mm      109.35mm  T        270.00 0.1uF          
C14        CC0805              112.375mm      92.775mm     112.375mm      92.775mm     113.275mm      92.775mm  T        180.00 10uF           
C13        CC0603               97.525mm        89.9mm      97.525mm        89.9mm      97.525mm       90.75mm  T        270.00 1uF            
C12        CC0603              120.575mm       108.5mm     120.575mm       108.5mm     120.575mm      107.65mm  T         90.00 0.1uF          
C11        CC0603              113.825mm        83.9mm     113.825mm        83.9mm     114.675mm        83.9mm  T        180.00 0.1uF          
C10        CC0603              100.825mm        83.9mm     100.825mm        83.9mm     101.675mm        83.9mm  T        180.00 0.1uF          
C9         CC0603                 77.8mm       89.45mm        77.8mm       89.45mm       76.95mm       89.45mm  T        360.00 1uF            
C8         CC0603                 88.4mm       102.7mm        88.4mm       102.7mm        88.4mm      103.55mm  T        270.00 0.1uF          
C7         CC0603               88.425mm        83.9mm      88.425mm        83.9mm      89.275mm        83.9mm  T        180.00 0.1uF          
