Altium Designer Pick and Place Locations
E:\Projects_Files\Projects\Altium_Projects\BLE\BLE_CAMERA_hv2\Project Outputs for BLE_CAMERA_hv2\Pick Place\Pick Place for BLE_CAMERA_hv2.csv

========================================================================================================================
File Design Information:

Date:       13.08.18
Time:       11:29
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C29","0.1uF","TopLayer","CC0603","118,9250","92,3500","90","CC0603"
"XP5","n.p","TopLayer","PLS-03","103,9600","68,1000","180","PLS03"
"A1","Antenna Wi-Fi","TopLayer","Antenna_WiFi","141,0875","77,9500","270","2.43GHz"
"U1","BQ24092DGQR","TopLayer","DGQ10-1675X1445TP_N","133,9500","82,0000","180","1 A, Single-Input, Single-Cell Li-Ion Battery Charger with Operation Over JEITA and 10 k ohm NTC, 4.5 V, -40 to 150 degC, 10-pin MSOP-PowerPAD (DGQ), Green (RoHS & no Sb/Br)"
"XP6","PLS2-03","BottomLayer","PLS2-03","65,1750","86,7000","270","PLS2-03"
"XP4","n.p","BottomLayer","PLS2-04","80,2000","91,6079","180","PLS2-04"
"XP3","MW03R","TopLayer","MW03R","121,7000","90,7000","270","MW03R"
"XP2","PLD2-10","TopLayer","PLD2-10","113,2250","85,8250","270",""
"XP1","KLS1-238","TopLayer","KLS1-238","144,4875","84,8000","360",""
"VT6","BC817-40","TopLayer","SOT-23(123)","97,1660","87,4934","270","NPN 500ma transistor"
"VT5","BC817-40","TopLayer","SOT-23(123)","100,8934","88,9340","180","NPN 500ma transistor"
"VT4","IRLML6402","TopLayer","SOT-23(123)","101,1066","92,3160","0","HEXFET Power MOSFET"
"VT3","BC817-40","TopLayer","SOT-23(123)","101,4090","71,6316","90","NPN 500ma transistor"
"VD12","SFH4211-Z","TopLayer","LED_3528","77,5000","94,0500","90",""
"VD11","SFH4211-Z","TopLayer","LED_3528","70,3000","90,6125","90",""
"VD10","SFH4211-Z","TopLayer","LED_3528","91,0625","85,7000","0",""
"VD9","SFH4211-Z","TopLayer","LED_3528","87,9750","90,6000","90",""
"VD8","SFH4211-Z","TopLayer","LED_3528","88,8000","69,5000","270",""
"VD7","SFH4211-Z","TopLayer","LED_3528","91,5000","75,7000","0",""
"VD6","SFH4211-Z","TopLayer","LED_3528","71,9000","68,9000","270",""
"VD5","SFH4211-Z","TopLayer","LED_3528","79,1000","66,1000","270",""
"VD4","SFH4211-Z","TopLayer","LED_3528","67,5000","82,2000","180",""
"VD3","SFH4211-Z","TopLayer","LED_3528","66,5000","76,0000","270",""
"VD2","LED_0805","TopLayer","LED0805","146,1000","91,4500","90",""
"VD1","AP2138-3.3","TopLayer","SOT-23(123)","107,0266","77,6659","0",""
"REPER2","REPER1.2","TopLayer","REPER1.2","68,6000","65,6000","90","REPER1.2"
"REPER1","REPER1.2","TopLayer","REPER1.2","136,1000","93,7000","90","REPER1.2"
"R20","10E","TopLayer","RC0603","68,8000","87,6747","90","RC0603"
"R19","10E","TopLayer","RC0603","86,5250","93,7503","270","RC0603"
"R18","10E","TopLayer","RC0603","91,5000","79,8003","270","RC0603"
"R17","100k","TopLayer","RC0603","96,9003","84,5000","180","RC0603"
"R16","10E","TopLayer","RC0603","84,1000","67,9003","270","RC0603"
