Altium Designer Pick and Place Locations
E:\Projects_Files\Projects\Altium_Projects\BLE\BLE_povodok_hv2\Project Outputs for BLE_povodok_hv2\Pick Place\Pick Place for BLE_povodok_hv2.csv

========================================================================================================================
File Design Information:

Date:       22.06.18
Time:       11:52
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"REPER4","REPER1.2","BottomLayer","REPER1.2","98,5750","97,2000","90","REPER1.2"
"REPER3","REPER1.2","BottomLayer","REPER1.2","71,4000","74,3500","90","REPER1.2"
"ANT1","IFA_TI_2.4G_Reference","TopLayer","ANT_IFA_2.4G_BEST","90,1735","71,4570","180",""
"C1","0.1uF","BottomLayer","CC0603","85,5000","85,3250","0","CC0603"
"C2","0.1uF","BottomLayer","CC0603","85,5000","86,8510","360","CC0603"
"C3","0.1uF","BottomLayer","CC0603","85,5018","88,3746","180","CC0603"
"C4","0.1uF","TopLayer","CC0603","74,5000","94,2000","90","CC0603"
"C5","0.1uF","BottomLayer","CC0603","89,0750","85,8000","360","CC0603"
"C6","1uF","TopLayer","CC0603","92,8500","86,5000","0","CC0603"
"C7","10uF","TopLayer","CC0805","92,6500","91,9000","90","CC0805"
"C8","10uF","BottomLayer","CC0805","90,2000","88,3750","90","CC0805"
"C9","0.1uF","BottomLayer","CC0603","88,4250","88,3388","90","CC0603"
"C10","0.1uF","TopLayer","CC0603","89,4500","94,6750","180","CC0603"
"C11","15pF","TopLayer","CC0603","92,6250","80,1500","0","CC0603"
"C12","15pF","TopLayer","CC0603","92,4750","83,8500","360","CC0603"
"C13","22pF","TopLayer","CC0603","78,7773","83,8750","90","CC0603"
"C14","22pF","TopLayer","CC0603","78,7750","87,5000","270","CC0603"
"C15","1pF","TopLayer","CC0603","85,1000","79,9500","270","CC0603"
"C16","6.8pF","TopLayer","CC0603","83,3500","77,5250","90","CC0603"
"C17","12pF","TopLayer","CC0603","87,6500","73,3750","360","CC0603"
"C18","1pF","TopLayer","CC0603","89,2750","75,6750","360","CC0603"
"C19","1pF","TopLayer","CC0603","88,7250","78,6500","270","CC0603"
"DD1","CC2650","TopLayer","QFN32_TI","87,3500","86,9000","90","CC2650RHBT"
"DD2","IS25LP016D-JBLE","TopLayer","EIAJ_SO8","80,4335","95,2150","180","S25FL016A0LMFI01"
"L1","BLM18HE152SN1","TopLayer","L0603","82,1747","90,7750","0","L0603"
"L2","10uH","TopLayer","RC0805","90,7000","91,8500","90","L0805"
"L3","2.4nH","TopLayer","L0402","83,3500","80,3750","90","L0402"
"L4","2nH","TopLayer","L0402","86,8000","77,4250","270","L0402"
"L5","2nH","TopLayer","L0402","86,8000","75,2750","270","L0402"
"L6","2.4nH","TopLayer","L0402","86,8000","79,5250","270","L0402"
"QR1","MS3V-T1R","TopLayer","MS3V-T1R","91,1250","81,9750","360","CRYSTAL_32768 Hz"
"QR2","SJK-6L-24.0","TopLayer","AC5032_2","81,5250","85,7750","90","AC5032/2"
"R1","100k","TopLayer","RC0603","88,6000","92,2503","270","RC0603"
"REPER1","REPER1.2","TopLayer","REPER1.2","71,4000","74,3500","90","REPER1.2"
"REPER2","REPER1.2","TopLayer","REPER1.2","98,5843","97,2060","90","REPER1.2"
"XP1","PLD2-10","TopLayer","PLD2-10","101,2000","84,1250","180",""
"XP2","PBS2-04","BottomLayer","PLS2-04","102,8980","94,6060","270","PLS2-04"
"XP4","PBS2-02","BottomLayer","PLS2-02","70,0000","90,5000","270","PBS2-02"
"XP3","PBS2-03","BottomLayer","PLS2-03","70,0000","95,9000","270","PBS2-03"
