Altium Designer Pick and Place Locations
F:\Projects_Files\Projects\Altium_Projects\BLE\BLE_tag_hv1\Project Outputs for BLE_tag_hv1\Pick Place\Pick Place for BLE_tag_hv1.csv

========================================================================================================================
File Design Information:

Date:       07.10.19
Time:       17:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R2","n.p","TopLayer","RC0603","44,2000","28,6003","270","RC0603"
"X2","PIN_1.2mm","TopLayer","PIN_1.2mm","9,8250","2,5250","0",""
"X1","PIN_1.2mm","TopLayer","PIN_1.2mm","18,0500","2,5250","0",""
"XP4","MW03D","TopLayer","MW03D","31,3250","1,8250","180","MW03D"
"XP2","PLD2-10","TopLayer","PLD2-10","13,2250","38,3750","180",""
"DD1","CC2650","TopLayer","QFN32_TI","32,8500","35,9250","360","CC2650RHBT"
"C8","0.1uF","TopLayer","CC0603","38,4000","35,0000","180","CC0603"
"ANT1","IFA_TI_2.4G_Reference","TopLayer","ANT_IFA_2.4G_BEST","20,3265","50,9430","360",""
"XP3","BH-10","TopLayer","BH-10","4,9700","38,4600","90","BH-10"
"XP1","BHC-CR123A","TopLayer","CR123_HOLDER","23,8000","12,7000","180","Holder for CR123 battery"
"VD1","PMEG1020EJ","TopLayer","SOD323","42,3997","28,5160","90",""
"REPER2","REPER1.2","TopLayer","REPER1.2","6,3811","20,0000","90","REPER1.2"
"REPER1","REPER1.2","TopLayer","REPER1.2","42,0000","46,8750","90","REPER1.2"
"R1","100k","TopLayer","RC0603","44,1000","33,6003","270","RC0603"
"QR2","SJK-6L-24.0","TopLayer","AC5032_2","34,1000","42,7150","360","AC5032/2"
"QR1","MS3V-T1R","TopLayer","MS3V-T1R","27,3500","30,9250","270","CRYSTAL_32768 Hz"
"L6","2.4nH","TopLayer","L0402","22,0000","41,3000","90","L0402"
"L5","2nH","TopLayer","L0402","22,0000","45,5000","90","L0402"
"L4","2nH","TopLayer","L0402","22,0000","43,4000","90","L0402"
"L3","2.4nH","TopLayer","L0402","25,9000","41,4900","270","L0402"
"L2","10uH","TopLayer","RC0805","36,9000","31,5000","270","L0805"
"L1","BLM18HE152SN1","TopLayer","L0603","42,4000","32,0497","90","L0603"
"C19","0.1uF","TopLayer","CC0603","40,6000","28,7000","90","CC0603"
"C18","1pF","TopLayer","CC0603","19,5500","40,8750","180","CC0603"
"C17","1pF","TopLayer","CC0603","19,6000","45,0750","180","CC0603"
"C16","12pF","TopLayer","CC0603","22,0000","48,3000","90","CC0603"
"C15","6.8pF","TopLayer","CC0603","25,9000","44,3900","270","CC0603"
"C14","1pF","TopLayer","CC0603","24,0000","41,8878","90","CC0603"
"C13","22pF","TopLayer","CC0603","36,0000","45,3000","180","CC0603"
"C12","22pF","TopLayer","CC0603","32,4000","45,2977","360","CC0603"
"C11","15pF","TopLayer","CC0603","29,2000","31,2000","270","CC0603"
"C10","15pF","TopLayer","CC0603","25,5000","31,2000","270","CC0603"
"C9","0.1uF","TopLayer","CC0603","44,1000","36,9343","270","CC0603"
"C7","10uF","TopLayer","CC0805","38,4000","36,8000","180","CC0805"
"C6","10uF","TopLayer","CC0805","36,9000","27,9751","90","CC0805"
"C5","1uF","TopLayer","CC0603","32,4000","30,2500","270","CC0603"
"C4","0.1uF","TopLayer","CC0603","30,8000","31,0500","90","CC0603"
"C3","0.1uF","TopLayer","CC0603","37,8000","38,6000","180","CC0603"
"C2","0.1uF","TopLayer","CC0603","35,5000","40,2000","360","CC0603"
"C1","0.1uF","TopLayer","CC0603","30,1000","40,9500","90","CC0603"
