Altium Designer Pick and Place Locations
E:\Projects_Files\Projects\Altium_Projects\BLE\S6_BLE_TAG\Project Outputs for S6_BLE_TAG\Pick Place\Pick Place for S6_BLE_TAG.csv

========================================================================================================================
File Design Information:

Date:       27.05.19
Time:       17:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"REP2","REPER_POINT_1.2","TopLayer","REPER1.2","135,3750","65,5000","0","REPER1.2"
"REP1","REPER_POINT_1.2","TopLayer","REPER1.2","160,4750","48,2000","0","REPER1.2"
"XP2","PLD2-10","BottomLayer","PLD2-10","160,5250","66,0000","180",""
"XP1","PLD2-10","BottomLayer","PLD2-10","136,7500","57,4000","360",""
"R2","100k","TopLayer","RC0603","138,0500","47,1003","270","RC0603"
"QR2","SJK-6L-24.0","TopLayer","AC5032_2","156,8000","54,9000","270","AC5032/2"
"QR1","MS3V-T1R","TopLayer","MS3V-T1R","144,0994","58,0500","180","CRYSTAL_32768 Hz"
"L6","2.4nH","TopLayer","L0402","150,0000","60,1000","90","L0402"
"L5","2nH","TopLayer","L0402","150,0000","64,3000","90","L0402"
"L4","2nH","TopLayer","L0402","150,0000","62,2250","90","L0402"
"L3","2.4nH","TopLayer","L0402","153,6250","60,0500","180","L0402"
"L2","10uH","TopLayer","RC0805","146,3750","49,6000","180","L0805"
"L1","BLM18HE152SN1","TopLayer","L0603","142,6253","47,7000","360","L0603"
"DD1","CC2650","TopLayer","QFN32_TI","150,1500","53,6250","270","CC2650RHBT"
"C18","1pF","TopLayer","CC0603","148,4000","60,3500","90","CC0603"
"C17","1pF","TopLayer","CC0603","147,4000","63,0000","180","CC0603"
"C16","12pF","TopLayer","CC0603","147,4000","64,7000","180","CC0603"
"C15","6.8pF","TopLayer","CC0603","154,5000","62,5000","270","CC0603"
"C14","1pF","TopLayer","CC0603","151,7000","60,9000","90","CC0603"
"C13","22pF","TopLayer","CC0603","159,4023","53,1000","90","CC0603"
"C12","22pF","TopLayer","CC0603","159,4000","56,7000","270","CC0603"
"C11","15pF","TopLayer","CC0603","143,8000","56,4000","180","CC0603"
"C10","15pF","TopLayer","CC0603","143,8000","59,7000","180","CC0603"
"C9","0.1uF","TopLayer","CC0603","139,6500","48,7500","270","CC0603"
"C8","0.1uF","TopLayer","CC0603","150,0000","48,3000","90","CC0603"
"C7","10uF","TopLayer","CC0805","151,8000","48,3000","90","CC0805"
"C6","10uF","TopLayer","CC0805","142,6000","49,6000","0","CC0805"
"C5","1uF","TopLayer","CC0603","144,5000","53,4000","180","CC0603"
"C4","0.1uF","TopLayer","CC0603","144,5000","54,9000","360","CC0603"
"C3","0.1uF","TopLayer","CC0603","153,9000","49,9000","90","CC0603"
"C2","0.1uF","TopLayer","CC0603","155,4000","49,9000","270","CC0603"
"C1","0.1uF","TopLayer","CC0603","154,0500","57,3500","90","CC0603"
"A1","Antenna Wi-Fi","TopLayer","Antenna_WiFi","143,0500","65,2875","360","2.43GHz"
