Altium Designer Pick and Place Locations
E:\Projects_Files\Projects\Altium_Projects\Bluetooth_tag\BLE_tag_highpower\Project Outputs for BLE_tag_highpower\Pick Place\Pick Place for BLE_tag_highpower.csv

========================================================================================================================
File Design Information:

Date:       02.08.17
Time:       17:04
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R7","10k","TopLayer","RC0603","82.5753","87.6000","180","RC0603"
"C1","10uF","TopLayer","CC0805","80.9000","66.6500","0","CC0805"
"C2","0.1uF","TopLayer","CC0603","80.9500","64.7750","0","CC0603"
"C3","0.1uF","TopLayer","CC0603","111.4250","81.0500","90","CC0603"
"C4","0.1uF","TopLayer","CC0603","110.4250","70.2250","360","CC0603"
"C5","0.1uF","TopLayer","CC0603","108.2250","81.8000","180","CC0603"
"C6","12pF","TopLayer","CC0603","96.4500","71.5500","270","CC0603"
"C7","12pF","TopLayer","CC0603","100.6000","71.5500","270","CC0603"
"C8","0.1uF","TopLayer","CC0603","102.3000","71.5500","90","CC0603"
"C9","10uF","TopLayer","CC0805","105.9000","71.1250","90","CC0805"
"C10","1uF","TopLayer","CC0603","103.9750","71.5500","270","CC0603"
"C11","10uF","TopLayer","CC0805","109.9250","74.3000","90","CC0805"
"C13","22pF","TopLayer","CC0603","101.4000","86.8250","360","CC0603"
"C14","22pF","TopLayer","CC0603","105.2000","86.8273","180","CC0603"
"C15","1pF","TopLayer","CC0603","98.5750","81.9750","360","CC0603"
"C16","6.8pF","TopLayer","CC0603","97.3750","86.5250","270","CC0603"
"C17","1pF","TopLayer","CC0603","95.1500","83.5750","90","CC0603"
"C18","1pF","TopLayer","CC0603","96.8750","78.3000","180","CC0603"
"C19","10uF","TopLayer","CC0805","84.5000","77.0750","360","CC0805"
"C20","0.1uF","TopLayer","CC0603","93.1250","77.6750","90","CC0603"
"DA1","RFX8422S","TopLayer","QFN-16_Skyworks","89.3250","78.2750","180",""
"DD1","CC2650","TopLayer","QFN32_TI","104.1750","77.8500","0","CC2650RHBT"
"L1","BLM18HE152SN1","TopLayer","L0603","82.5753","68.5000","0","L0603"
"L2","10uH","TopLayer","RC0805","107.9250","72.9750","270","L0805"
"L3","2.4nH","TopLayer","L0402","97.8000","84.0250","0","L0402"
"L4","2nH","TopLayer","L0402","93.2500","80.9000","180","L0402"
"L5","2nH","TopLayer","L0402","95.5750","80.9000","180","L0402"
"L6","n.p","TopLayer","L0402","93.1500","82.9000","180","L0402"
"L7","2.4nH","TopLayer","L0402","97.7250","80.1750","90","L0402"
"QR1","MS3V-T1R","TopLayer","MS3V-T1R","98.5750","71.2750","270","CRYSTAL_32768 Hz"
"QR2","SJK-6L-24.0","TopLayer","AC5032_2","103.2750","84.1500","360","AC5032/2"
"R1","100k","TopLayer","RC0603","109.9250","77.5497","90","RC0603"
"R2","n.p","TopLayer","RC0603","78.0997","78.0250","360","RC0603"
"R3","10k","TopLayer","RC0603","78.0997","76.3000","0","RC0603"
"R4","10k","TopLayer","RC0603","73.5753","85.4000","180","RC0603"
"R5","10k","TopLayer","RC0603","85.7750","72.8497","90","RC0603"
"R6","10k","TopLayer","RC0603","87.5250","72.7247","90","RC0603"
"REPER1","REPER1.2","TopLayer","REPER1.2","74.1250","90.7500","90","REPER1.2"
"REPER2","REPER1.2","TopLayer","REPER1.2","110.7750","66.3750","90","REPER1.2"
"XP1","MW03D","TopLayer","MW03D","81.7880","61.8490","360","MW03D"
"XP3","PLD06_SMD","TopLayer","PLD06_SMD","79.5625","82.8600","270",""
"XP2","BH-10","TopLayer","BH-10","97.4430","61.0940","180","BH-10"
"X1","PIN_1mm","TopLayer","PIN_1mm","92.2380","74.5990","0",""
