Altium Designer Pick and Place Locations
E:\Projects_Files\Projects\Altium_Projects\S6_Line\EX02\Project Outputs for Expansion_hv2\Pick Place\Pick Place for Expansion_hv2.csv

========================================================================================================================
File Design Information:

Date:       25.09.17
Time:       11:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"REP4","REPER_POINT_1.2","BottomLayer","REPER1.2","116.6500","106.1000","90","REPER1.2"
"REP3","REPER_POINT_1.2","BottomLayer","REPER1.2","78.1750","46.9500","90","REPER1.2"
"C1","33pF","TopLayer","CC0603","97.1500","102.1250","90","CC0603"
"C2","0.1uF","BottomLayer","CC0603","99.8750","97.6500","90","CC0603"
"C4","100pF","TopLayer","CC0603","99.8500","81.7000","270","CC0603"
"C5","100pF","TopLayer","CC0603","99.8500","86.3000","90","CC0603"
"C6","0.1uF","TopLayer","CC0603","99.8477","92.2500","270","CC0603"
"C7","0.1uF","TopLayer","CC0603","99.8500","96.4750","90","CC0603"
"C8","100pF","TopLayer","CC0603","101.1213","73.5752","270","CC0603"
"C9","100pF","TopLayer","CC0603","95.9000","69.9250","90","CC0603"
"C10","0.1uF","TopLayer","CC0603","82.4250","68.6250","90","CC0603"
"C11","0.1uF","TopLayer","CC0603","87.5000","70.1250","90","CC0603"
"C12","0.1uF","BottomLayer","CC0603","112.0227","72.8500","90","CC0603"
"C13","0.1uF","BottomLayer","CC0603","103.4000","67.0273","360","CC0603"
"C14","0.1uF","BottomLayer","CC0603","117.4500","72.8500","90","CC0603"
"C15","0.1uF","BottomLayer","CC0603","84.3000","96.7500","360","CC0603"
"C16","0.1uF","BottomLayer","CC0603","87.0250","94.6000","90","CC0603"
"C17","0.1uF","BottomLayer","CC0603","87.0250","100.6250","270","CC0603"
"C18","0.1uF","BottomLayer","CC0603","88.5250","94.6018","270","CC0603"
"C19","10uFx10V","BottomLayer","CC0805","90.2750","94.6500","270","CC0805"
"C20","200pF","TopLayer","CC0603","98.1250","107.6250","270","CC0603"
"C21","0.1uF","TopLayer","CC0603-3M","76.5000","86.4000","90","CC0603"
"C22","22pF","TopLayer","CC0603","77.9000","101.3750","360","CC0603"
