Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

VD38       DO-201               154.35mm     102.525mm      154.35mm      99.525mm      154.35mm      99.525mm  T         90.00 1.5KE150A      
J2         PIN2W               159.875mm      91.655mm     159.875mm      92.925mm     159.875mm      92.925mm  T        270.00 PLS-02         
C27        CC0603               63.475mm        99.8mm      63.475mm        99.8mm      63.475mm       98.95mm  T         90.00 220pF          
R43        RC0805               163.95mm      92.925mm      163.95mm      92.925mm       164.9mm      92.925mm  T        180.00 120E           
C1         CC0603                51.05mm      83.975mm       51.05mm      83.975mm        51.9mm      83.975mm  T        180.00 0.1uF          
C2         CC0603                 66.6mm      83.975mm        66.6mm      83.975mm       67.45mm      83.975mm  T        180.00 0.1uF          
C3         CC0603                 82.2mm      83.975mm        82.2mm      83.975mm       83.05mm      83.975mm  T        180.00 0.1uF          
C4         CC0603               97.825mm      83.975mm      97.825mm      83.975mm      98.675mm      83.975mm  T        180.00 0.1uF          
C5         CC0603              113.425mm      83.975mm     113.425mm      83.975mm     114.275mm      83.975mm  T        180.00 0.1uF          
C6         CC0603               129.05mm      83.975mm      129.05mm      83.975mm       129.9mm      83.975mm  T        180.00 0.1uF          
C7         CC0603               144.65mm      83.975mm      144.65mm      83.975mm       145.5mm      83.975mm  T        180.00 0.1uF          
C8         CC0603              160.225mm      83.975mm     160.225mm      83.975mm     161.075mm      83.975mm  T        180.00 0.1uF          
C9         CC0603              175.825mm      83.975mm     175.825mm      83.975mm     176.675mm      83.975mm  T        180.00 0.1uF          
C10        CC0603               191.55mm      83.975mm      191.55mm      83.975mm       192.4mm      83.975mm  T        180.00 0.1uF          
C11        CC0603               83.675mm      89.375mm      83.675mm      89.375mm      82.825mm      89.375mm  T          0.00 0.1uF          
C12        CC0603                86.55mm      103.55mm       86.55mm      103.55mm        87.4mm      103.55mm  T        180.00 0.1uF          
C13        CC0603               90.175mm      89.975mm      90.175mm      89.975mm      91.025mm      89.975mm  T        180.00 0.1uF          
C14        CC0603                 56.5mm        99.8mm        56.5mm        99.8mm        56.5mm       98.95mm  T         90.00 220pF          
C15        CC0603                79.05mm      92.975mm       79.05mm      92.975mm       79.05mm      93.825mm  T        270.00 0.1uF          
C16        CC0603                102.4mm      97.625mm       102.4mm      97.625mm       102.4mm      98.475mm  T        270.00 0.1uF          
C17        CC0603                72.25mm        98.6mm       72.25mm        98.6mm        71.4mm        98.6mm  T          0.00 22pF           
C18        CC0603                72.25mm        94.6mm       72.25mm        94.6mm        71.4mm        94.6mm  T          0.00 22pF           
C19        CC0603             136.1247mm        97.3mm    136.1247mm        97.3mm    136.1247mm       96.45mm  T         90.00 330pF          
C20        CC8X3.5             125.725mm     109.225mm     125.725mm     107.475mm     125.725mm     107.475mm  T         90.00 1000uFx10V     
C21        CC0603                121.2mm     103.825mm       121.2mm     103.825mm      120.35mm     103.825mm  T          0.00 0.1uF          
C22        CC0603               148.75mm        97.4mm      148.75mm        97.4mm      148.75mm       96.55mm  T         90.00 0.1uF          
C23        CC16X10_CAP0.5(1)(Primary)     136.335mm     109.325mm     138.875mm     109.325mm     133.795mm     109.325mm  T        180.00 470uF          
C24        CC0603              110.025mm         110mm     110.025mm         110mm     110.025mm      110.85mm  T        270.00 0.1uF          
C25        CC0805                  112mm      109.95mm         112mm      109.95mm         112mm      109.05mm  T         90.00 4.7uF 6.3V     
C26        CC0603               116.65mm      103.55mm      116.65mm      103.55mm       117.5mm      103.55mm  T        180.00 0.1uF          
DA1        SO-8                141.694mm      100.77mm       138.9mm     102.675mm       138.9mm     102.675mm  T        270.00 MC33063        
DA2        SOT23-5             116.425mm      108.75mm     116.425mm      108.75mm     117.375mm         110mm  T        270.00 AP2210K-ADJTRG1
DD1        LQFP-48               86.45mm        96.6mm       86.45mm        96.6mm       82.25mm       99.35mm  T          0.00 LPC11C24FBD48  
DD2        EIAJ_SO8            106.655mm     96.1965mm      104.75mm       92.45mm      104.75mm       92.45mm  T         90.00 M25PE16        
FU1        RC1210                 45.2mm        73.2mm        45.2mm        73.2mm        45.2mm        74.8mm  T        270.00 MICROSMD010F-2 
FU2        RC1210                123.2mm        73.2mm       123.2mm        73.2mm       123.2mm        74.8mm  T        270.00 MICROSMD010F-2 
FU3        RC1210                 60.8mm        73.2mm        60.8mm        73.2mm        60.8mm        74.8mm  T        270.00 MICROSMD010F-2 
FU4        RC1210                138.8mm        73.2mm       138.8mm        73.2mm       138.8mm        74.8mm  T        270.00 MICROSMD010F-2 
FU5        RC1210                 76.4mm        73.2mm        76.4mm        73.2mm        76.4mm        74.8mm  T        270.00 MICROSMD010F-2 
FU6        RC1210                154.4mm        73.2mm       154.4mm        73.2mm       154.4mm        74.8mm  T        270.00 MICROSMD010F-2 
FU7        RC1210                   92mm        73.2mm          92mm        73.2mm          92mm        74.8mm  T        270.00 MICROSMD010F-2 
FU8        RC1210                  170mm        73.2mm         170mm        73.2mm         170mm        74.8mm  T        270.00 MICROSMD010F-2 
FU9        RC1210                107.6mm        73.2mm       107.6mm        73.2mm       107.6mm        74.8mm  T        270.00 MICROSMD010F-2 
FU10       RC1210                185.7mm        73.2mm       185.7mm        73.2mm       185.7mm        74.8mm  T        270.00 MICROSMD010F-2 
FU11       RC1210                 55.2mm        73.2mm        55.2mm        73.2mm        55.2mm        71.6mm  T         90.00 MICROSMD010F-2 
FU12       RC1210                 70.8mm        73.2mm        70.8mm        73.2mm        70.8mm        71.6mm  T         90.00 MICROSMD010F-2 
FU13       RC1210                 86.4mm        73.2mm        86.4mm        73.2mm        86.4mm        71.6mm  T         90.00 MICROSMD010F-2 
FU14       RC1210                  102mm        73.2mm         102mm        73.2mm         102mm        71.6mm  T         90.00 MICROSMD010F-2 
FU15       RC1210                117.6mm        73.2mm       117.6mm        73.2mm       117.6mm        71.6mm  T         90.00 MICROSMD010F-2 
FU16       RC1210                133.2mm        73.2mm       133.2mm        73.2mm       133.2mm        71.6mm  T         90.00 MICROSMD010F-2 
FU17       RC1210                148.8mm        73.2mm       148.8mm        73.2mm       148.8mm        71.6mm  T         90.00 MICROSMD010F-2 
FU18       RC1210                164.4mm        73.2mm       164.4mm        73.2mm       164.4mm        71.6mm  T         90.00 MICROSMD010F-2 
FU19       RC1210                  180mm        73.2mm         180mm        73.2mm         180mm        71.6mm  T         90.00 MICROSMD010F-2 
FU20       RC1210                195.7mm        73.2mm       195.7mm        73.2mm       195.7mm        71.6mm  T         90.00 MICROSMD010F-2 
FU21       RC1210                154.3mm      90.375mm       154.3mm      90.375mm       152.7mm      90.375mm  T          0.00 MICROSMD010F-2 
FU22       RC1210                154.3mm        95.4mm       154.3mm        95.4mm       152.7mm        95.4mm  T          0.00 MICROSMD010F-2 
FU23       RXE-110             164.785mm      111.65mm     167.325mm      111.65mm     167.325mm      111.65mm  T        180.00 RXE-110        
J1         PIN2W                60.075mm      99.805mm      60.075mm     101.075mm      60.075mm     101.075mm  T        270.00 PLS-02         
J2         PIN2W                  66.9mm       99.83mm        66.9mm       101.1mm        66.9mm       101.1mm  T        270.00 PLS-02         
L1         SDR0805               125.9mm      98.575mm       125.9mm      98.575mm     123.233mm      98.575mm  T          0.00 220uH          
QR1        AC5032_2              76.45mm        96.6mm       76.45mm        96.6mm       76.45mm        98.6mm  T        270.00 NX5032GA-12.000MHz LN-CD-1
R1         RC0603              44.9253mm      79.625mm      44.925mm      79.625mm        45.7mm      79.625mm  T        180.00 4k7            
R2         RC0603              60.5003mm      79.625mm        60.5mm      79.625mm      61.275mm      79.625mm  T        180.00 4k7            
R3         RC0603              76.1003mm      79.625mm        76.1mm      79.625mm      76.875mm      79.625mm  T        180.00 4k7            
R4         RC0603              91.7253mm      79.625mm      91.725mm      79.625mm        92.5mm      79.625mm  T        180.00 4k7            
R5         RC0603              50.9753mm      82.275mm      50.975mm      82.275mm       51.75mm      82.275mm  T        180.00 100k           
R6         RC0603              66.5253mm      82.275mm      66.525mm      82.275mm        67.3mm      82.275mm  T        180.00 100k           
R7         RC0603              82.1253mm      82.275mm      82.125mm      82.275mm        82.9mm      82.275mm  T        180.00 100k           
R8         RC0603              97.7503mm      82.275mm       97.75mm      82.275mm      98.525mm      82.275mm  T        180.00 100k           
R9         RC0603             107.3253mm      79.625mm     107.325mm      79.625mm       108.1mm      79.625mm  T        180.00 4k7            
R10        RC0603             122.9253mm      79.625mm     122.925mm      79.625mm       123.7mm      79.625mm  T        180.00 4k7            
R11        RC0603             138.5253mm      79.625mm     138.525mm      79.625mm       139.3mm      79.625mm  T        180.00 4k7            
R12        RC0603             154.1253mm      79.625mm     154.125mm      79.625mm       154.9mm      79.625mm  T        180.00 4k7            
R13        RC0603             113.3503mm      82.275mm      113.35mm      82.275mm     114.125mm      82.275mm  T        180.00 100k           
R14        RC0603             128.9753mm      82.275mm     128.975mm      82.275mm      129.75mm      82.275mm  T        180.00 100k           
R15        RC0603             144.5753mm      82.275mm     144.575mm      82.275mm      145.35mm      82.275mm  T        180.00 100k           
R16        RC0603             160.1503mm      82.275mm      160.15mm      82.275mm     160.925mm      82.275mm  T        180.00 100k           
R17        RC0603             169.7253mm      79.625mm     169.725mm      79.625mm       170.5mm      79.625mm  T        180.00 4k7            
R18        RC0603             185.4253mm      79.625mm     185.425mm      79.625mm       186.2mm      79.625mm  T        180.00 4k7            
R19        RC0603             175.7503mm      82.275mm      175.75mm      82.275mm     176.525mm      82.275mm  T        180.00 100k           
R20        RC0603             191.4753mm      82.275mm     191.475mm      82.275mm      192.25mm      82.275mm  T        180.00 100k           
R21        RC0603                 49.3mm     74.0997mm        49.3mm        74.1mm        49.3mm      73.325mm  T         90.00 4k7            
R22        RC0603                 64.9mm     73.9997mm        64.9mm          74mm        64.9mm      73.225mm  T         90.00 4k7            
R23        RC0603                 80.5mm     73.9997mm        80.5mm          74mm        80.5mm      73.225mm  T         90.00 4k7            
R24        RC0603                 96.1mm     73.9997mm        96.1mm          74mm        96.1mm      73.225mm  T         90.00 4k7            
R25        RC0603                111.7mm     73.9997mm       111.7mm          74mm       111.7mm      73.225mm  T         90.00 4k7            
R26        RC0603                127.3mm     73.9997mm       127.3mm          74mm       127.3mm      73.225mm  T         90.00 4k7            
R27        RC0603                142.9mm     73.9997mm       142.9mm          74mm       142.9mm      73.225mm  T         90.00 4k7            
R28        RC0603                158.5mm     73.9997mm       158.5mm          74mm       158.5mm      73.225mm  T         90.00 4k7            
R29        RC0603                174.1mm     73.9997mm       174.1mm          74mm       174.1mm      73.225mm  T         90.00 4k7            
R30        RC0603                189.8mm     73.9997mm       189.8mm          74mm       189.8mm      73.225mm  T         90.00 4k7            
R31        RC0603                83.95mm    109.3997mm       83.95mm       109.4mm       83.95mm     108.625mm  T         90.00 100E           
R32        RC0603                63.55mm    103.9003mm       63.55mm       103.9mm       63.55mm     104.675mm  T        270.00 10k            
R33        RC0603                70.65mm    102.3753mm       70.65mm     102.375mm       70.65mm      103.15mm  T        270.00 10k            
R34        RC0603             159.6247mm      98.825mm     159.625mm      98.825mm      158.85mm      98.825mm  T          0.00 330E           
R35        RC0603             159.6247mm     103.975mm     159.625mm     103.975mm      158.85mm     103.975mm  T          0.00 330E           
