"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"4","REPER1.2","108.85mm","70.4mm","108.85mm","70.4mm","108.85mm","70.4mm","B","90.00","REPER1.2"
"3","REPER1.2","68.075mm","95.3mm","68.075mm","95.3mm","68.075mm","95.3mm","B","90.00","REPER1.2"
"2","REPER1.2","66.875mm","97mm","66.875mm","97mm","66.875mm","97mm","T","90.00","REPER1.2"
"1","REPER1.2","108.85mm","70.4mm","108.85mm","70.4mm","108.85mm","70.4mm","T","90.00","REPER1.2"
"XP3","MIF2X02PRP","107.475mm","100.115mm","107.475mm","103.775mm","108.975mm","99.455mm","T","90.00","MIF2X02PRP"
"XP1","PIN6","86.495mm","87.71mm","85.225mm","90.25mm","85.225mm","90.25mm","T","270.00","PLD-06"
"VT3","SOT-23(123)","115.516mm","89.3566mm","114.5mm","90.525mm","114.5mm","90.5123mm","B","90.00","BC856B"
"VT4","D-PAK(TO-252AA)","116.275mm","78.65mm","116.275mm","77.4mm","118.555mm","81.9mm","T","270.00","IRFR9220"
"VT2","SOT-23(123)","79.4566mm","72.134mm","80.625mm","73.15mm","80.6123mm","73.15mm","B","0.00","BC817-40"
"VT1","SOT-23(123)","70.434mm","76.3934mm","71.45mm","75.225mm","71.45mm","75.2377mm","B","270.00","BC817-40"
"VD11","SMA","90.275mm","67.5mm","90.275mm","67.5mm","90.275mm","65.45mm","B","90.00","SS14"
"VD14","SOD-80","118.9mm","92.925mm","118.9mm","92.925mm","118.9mm","94.576mm","B","90.00","BZV55C36"
"VD15","SOD-80","114.85mm","85.85mm","114.85mm","85.85mm","116.501mm","85.85mm","T","0.00","BZV55C15"
"VD12","SMA","116.45mm","94.025mm","116.45mm","94.025mm","118.5mm","94.025mm","T","180.00","GS1M"
"VD6","SOD-80","76.65mm","68.85mm","76.65mm","68.85mm","78.301mm","68.85mm","B","0.00","LL4148"
"VD10","SOT-23(123)","94.3934mm","102.716mm","93.225mm","101.7mm","93.2377mm","101.7mm","B","180.00","BAT54A"
"VD9","SOT-23(123)","94.3934mm","98.966mm","93.225mm","97.95mm","93.2377mm","97.95mm","B","180.00","BAT54A"
"VD5","SOD-80","67.925mm","71.4mm","67.925mm","71.4mm","67.925mm","69.749mm","B","270.00","LL4148"
"VD1","SOT-23(GSD)","90.1184mm","95.941mm","88.95mm","94.925mm","88.9627mm","94.925mm","B","90.00","BAT54S"
"VD2","SOT-23(GSD)","88.9816mm","103.834mm","90.15mm","104.85mm","90.1373mm","104.85mm","B","270.00","BAT54S"
"VD3","LED3","115.445mm","103.875mm","114.175mm","103.875mm","114.175mm","103.875mm","T","0.00","BL-B45V1F"
"VD4","SOT-23(123)","103.141mm","92.1316mm","102.125mm","93.3mm","102.125mm","93.2873mm","B","90.00","PESD2CAN"
"R25","RC0603-3M","99.575mm","73.85mm","99.575mm","73.85mm","99.575mm","73.0753mm","B","90.00","15k 1%"
"R19","RC0603-3M","103.125mm","67.425mm","103.125mm","67.425mm","103.8997mm","67.425mm","B","180.00","1k 1%"
"R18","RC0603-3M","99.75mm","66.175mm","99.75mm","66.175mm","100.5247mm","66.175mm","B","180.00","3k 1%"
"R24","RC0603-3M","97.225mm","72.825mm","97.225mm","72.825mm","97.9997mm","72.825mm","B","180.00","105k 1%"
"R21","RC0805_IPC_NOM","101.475mm","71.7mm","101.475mm","71.7mm","101.475mm","72.65mm","B","270.00","1E"
"R20","RC0805_IPC_NOM","103.45mm","71.7mm","103.45mm","71.7mm","103.45mm","72.65mm","B","270.00","1E"
"R26","RC1206-2M","118.85mm","86.1998mm","118.85mm","87.8mm","118.85mm","87.8mm","B","270.00","220k"
"R23","RC1206-2M","115.9752mm","88.3mm","114.375mm","88.3mm","114.375mm","88.3mm","T","0.00","220k"
"R22","RC1206-2M","115.9998mm","91.05mm","117.6mm","91.05mm","117.6mm","91.05mm","T","180.00","220k"
"R11","RC0603-3M","82.55mm","73.925mm","82.55mm","73.925mm","82.55mm","74.6997mm","B","270.00","4k7"
"R17","RC0603-3M","98.35mm","102.7mm","98.35mm","102.7mm","99.1247mm","102.7mm","B","180.00","100k"
"R15","RC0603-3M","90.9mm","101.5mm","90.9mm","101.5mm","91.6747mm","101.5mm","B","180.00","4k7"
"R12","RC0603-3M","71.5mm","70.65mm","71.5mm","70.65mm","71.5mm","69.8753mm","B","90.00","47k"
"R10","RC0603-3M","72.275mm","72.9mm","72.275mm","72.9mm","73.0497mm","72.9mm","B","180.00","4k7"
"R16","RC0603-3M","98.075mm","100.4mm","98.075mm","100.4mm","98.8497mm","100.4mm","B","180.00","100k"
"R14","RC0603-3M","90.125mm","99.275mm","90.125mm","99.275mm","90.125mm","98.5003mm","B","90.00","4k7"
"R3","RC0603-3M","90.275mm","92.8mm","90.275mm","92.8mm","90.275mm","92.0253mm","B","90.00","10k"
"R5","RC0603-3M","85.825mm","103.4mm","85.825mm","103.4mm","85.825mm","104.1747mm","B","270.00","10k"
"R2","RC0603-3M","86.925mm","99.45mm","86.925mm","99.45mm","86.1503mm","99.45mm","B","0.00","75k"
"R4","RC0603-3M","76.875mm","102.2mm","76.875mm","102.2mm","76.1003mm","102.2mm","B","0.00","75k"
"R8","RC0603-3M","91.7mm","92.975mm","91.7mm","92.975mm","90.9253mm","92.975mm","T","0.00","10k"
"R1","RC0603-3M","93.55mm","84.1mm","93.55mm","84.1mm","94.3247mm","84.1mm","B","180.00","10k"
"R9","RC0603-3M","90.925mm","89.475mm","90.925mm","89.475mm","91.6997mm","89.475mm","B","180.00","100E"
"R6","RC0603-3M","119.125mm","103.8mm","119.125mm","103.8mm","119.125mm","103.0253mm","T","90.00","330"
"QR1","AC5032_2","93.425mm","86.825mm","93.425mm","86.825mm","93.425mm","88.825mm","T","270.00","NX5032GA-12.000MHz LN-CD-1"
"L1","SDR0805","87.15mm","68.425mm","87.15mm","68.425mm","84.483mm","68.425mm","T","0.00","220uH"
"K1","RY21_RY21(Primary)","65.6mm","79.025mm","61.85mm","66.375mm","69.35mm","66.375mm","T","90.00","RY21"
"K2","RY21_RY21(Primary)","76.65mm","79.025mm","72.9mm","66.375mm","80.4mm","66.375mm","T","90.00","RY21"
"FU5","MF-SMDF","116.3mm","98.325mm","116.3mm","98.325mm","114.1mm","98.325mm","T","0.00","MF-SMDF050"
"FU4","RC1210","88.8mm","103.725mm","88.8mm","103.725mm","87.35mm","103.725mm","T","0.00","MICROSMD010F"
"FU3","RC1210","88.775mm","100.525mm","88.775mm","100.525mm","87.325mm","100.525mm","T","0.00","MICROSMD010F"
"FU1","RC1210","102.325mm","98.025mm","102.325mm","98.025mm","102.325mm","96.575mm","B","90.00","MICROSMD010F"
"FU2","RC1210","107.475mm","93mm","107.475mm","93mm","108.925mm","93mm","B","180.00","MICROSMD010F"
"DD2","EIAJ_SO8","107.295mm","84.8715mm","109.2mm","81.125mm","109.2mm","81.125mm","B","90.00","M25P40"
"DD1","LQFP-48","101.2mm","86.825mm","101.2mm","86.825mm","97mm","89.575mm","T","0.00","LPC11C24FBD48"
"DA2","SOT223-6","95.375mm","75.275mm","95.375mm","75.275mm","92.835mm","72.275mm","T","90.00","MCP1824T-ADJE/DC"
"DA1","SO-8","97.169mm","68.07mm","94.375mm","69.975mm","94.375mm","69.975mm","T","270.00","MC34063"
"C24","CC0805-MIDI-2M1","96.65mm","77.0332mm","96.65mm","78.1mm","96.65mm","78.1mm","B","270.00","4.7uFx10V"
"C8","CC0805-MIDI-2M1","101.75mm","82.9418mm","101.75mm","81.875mm","101.75mm","81.875mm","B","90.00","4.7uFx10V"
"C17","CC0603-3M","86.15mm","75.175mm","86.15mm","75.175mm","87.0009mm","75.175mm","B","180.00","1uFx10V"
"C16","CC8X3.5","87.1mm","77.375mm","85.35mm","77.375mm","85.35mm","77.375mm","T","0.00","1000uF x 6.3V"
"C15","CC0603-3M","94.3mm","66.575mm","94.3mm","66.575mm","94.3mm","65.7241mm","B","90.00","330pFx50V"
"C18","CC0603-3M","109.225mm","73.5mm","109.225mm","73.5mm","109.225mm","72.6491mm","B","90.00","0.1uF"
"C23","CC0603-3M","98.725mm","77.2mm","98.725mm","77.2mm","98.725mm","78.0509mm","B","270.00","0.1uF"
"C20","CC16X10_CAP0.5(1)(Primary)","106.75mm","70.11mm","106.75mm","72.65mm","106.75mm","67.57mm","T","270.00","470uF x 35V"
"C21","CC0603-3M","91mm","74.625mm","91mm","74.625mm","91.8509mm","74.625mm","B","180.00","0.1uF"
"C22","CC0805-MIDI-2M1","92.4668mm","76.6mm","91.4mm","76.6mm","91.4mm","76.6mm","B","0.00","4.7uFx10V"
"C19","CC1206-MIDI","115.425mm","94.575mm","116.875mm","94.575mm","116.875mm","94.575mm","B","180.00","0.1uFx250V"
"C14","CC0603-3M","98.45mm","104.5mm","98.45mm","104.5mm","99.3009mm","104.5mm","B","180.00","0.1uF"
"C13","CC0603-3M","98.15mm","98.875mm","98.15mm","98.875mm","99.0009mm","98.875mm","B","180.00","0.1uF"
"C5","CC0603-3M","92.825mm","94.35mm","92.825mm","94.35mm","91.9741mm","94.35mm","B","0.00","0.1uF"
"C9","CC0603-3M","84.125mm","103.475mm","84.125mm","103.475mm","84.125mm","104.3259mm","B","270.00","0.1uF"
"C4","CC0603-3M","89.65mm","80.975mm","89.65mm","80.975mm","89.65mm","80.1241mm","B","90.00","220pF"
"C10","CC0603-3M","90.85mm","88.55mm","90.85mm","88.55mm","90.85mm","87.6991mm","T","90.00","22pF"
"C11","CC0603-3M","90.85mm","84.975mm","90.85mm","84.975mm","90.85mm","85.8259mm","T","270.00","22pF"
"C6","CC0603-3M","105.8mm","79mm","105.8mm","79mm","104.9491mm","79mm","B","0.00","0.1uF"
"C3","CC0603-3M","92.725mm","78.4mm","92.725mm","78.4mm","93.5759mm","78.4mm","B","180.00","0.1uF"
