Altium Designer Pick and Place Locations
E:\Projects_Files\Projects\Altium_Projects\S6_Line\RL02\Project Outputs for RL02\Pick Place\Pick Place for RL02.csv

========================================================================================================================
File Design Information:

Date:       17.10.17
Time:       15:46
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R7","100k","TopLayer","RC0603","105.4500","89.1497","90","RC0603"
"DA1","MC34063","TopLayer","SO-8","88.6350","56.6560","180","MC34063"
"REP4","REPER_POINT_1.2","BottomLayer","REPER1.2","82.5750","54.8750","90","REPER1.2"
"REP3","REPER_POINT_1.2","BottomLayer","REPER1.2","121.0000","110.9750","90","REPER1.2"
"R19","3k 1%","TopLayer","RC0603","87.2000","50.5997","90","RC0603"
"VD6","BAT54S","BottomLayer","SOT-23(GSD)","120.8340","86.0807","180","1.0 Ampere General Purpose Rectifier"
"XP2","MIF2X02PRP","TopLayer","MIF2X02PRP","117.9780","63.6410","0","MIF2X02PRP"
"XP3","MIF2X02PRP","TopLayer","MIF2X02PRP","117.9780","73.2410","360","MIF2X02PRP"
"C1","0.1uF","TopLayer","CC0603","105.5250","85.5500","270","CC0603"
"C2","0.1uF","TopLayer","CC0603","118.7500","81.4250","90","CC0603"
"C3","0.1uF","TopLayer","CC0603","107.0000","89.1000","90","CC0603"
"C4","0.1uF","TopLayer","CC0603","120.5500","81.4250","90","CC0603"
"C5","0.1uF","BottomLayer","CC0603","91.9250","86.2250","90","CC0603"
"C6","0.1uF","BottomLayer","CC0603","89.2750","81.9250","360","CC0603"
"C7","0.1uF","TopLayer","CC0603","102.1000","85.5750","180","CC0603"
"C8","0.1uF","BottomLayer","CC0603","93.4250","80.5768","270","CC0603"
"C9","22pF","TopLayer","CC0603","82.0692","80.7500","270","CC0603"
"C10","22pF","TopLayer","CC0603","82.0692","84.4000","90","CC0603"
"C11","200pF","TopLayer","CC0603","93.5250","92.4250","270","CC0603"
"C12","200pF","TopLayer","CC0603","103.8750","92.4500","270","CC0603"
"C13","0.1uF","BottomLayer","CC1206","120.9000","55.4500","180","CC1206"
"C14","0.1uF","BottomLayer","CC0603","88.0000","50.9500","90","CC0603"
"C15","470uFx35V","TopLayer","CC16X10_CAP0.5(1)(Primary)","96.6750","53.9150","270","CAP0.5(1)"
"C16","1000uFx6.3V","TopLayer","CC8X3.5","103.4000","65.0750","90","CAP0.35"
"C17","0.1uF","BottomLayer","CC0603","99.6500","59.8000","180","CC0603"
"C18","300pF","TopLayer","CC0603","84.6250","58.3000","270","CC0603"
"C19","0.1uF","TopLayer","CC0603","106.4000","70.6250","90","CC0603"
