"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C5","CC0603-3M","54.775mm","95.975mm","54.775mm","95.975mm","53.9241mm","95.975mm","T","0.00","200pF"
"J2","PLS-02","54.33mm","90.55mm","55.6mm","90.55mm","55.6mm","90.55mm","T","180.00","PLS-02"
"U1","SO-8","89.219mm","101.32mm","86.425mm","103.225mm","86.425mm","103.225mm","T","270.00","ST3485EBDR"
"XP3","MIF2X02PRP","98.15mm","111.715mm","98.15mm","115.375mm","99.65mm","111.055mm","T","90.00","MIF2X02PRP"
"XP1","MIF2X03PRP","65.6mm","111.715mm","65.6mm","111.055mm","68.6mm","111.055mm","T","90.00","MIF2X03PRP"
"C1","CC0603-3M","72.7mm","92.8mm","72.7mm","92.8mm","73.5509mm","92.8mm","T","180.00","0.1uF"
"C2","CC0603-3M","70.6mm","97.25mm","70.6mm","97.25mm","70.6mm","98.1009mm","T","270.00","0.1uF"
"C3","CC0603-3M","81.425mm","94.55mm","81.425mm","94.55mm","80.5741mm","94.55mm","T","0.00","0.1uF"
"C4","CC0603-3M","62.925mm","98.775mm","62.925mm","98.775mm","62.925mm","97.9241mm","T","90.00","200pF"
"C6","CC0603-3M","77.425mm","108.025mm","77.425mm","108.025mm","76.5741mm","108.025mm","T","0.00","0.1uF"
"C7","CC0603-3M","87.8mm","91.075mm","87.8mm","91.075mm","86.9491mm","91.075mm","T","0.00","0.1uF"
"C8","CC0603-3M","64.65mm","103.025mm","64.65mm","103.025mm","64.65mm","102.1741mm","T","90.00","22pF"
"C9","CC0603-3M","89.2mm","105mm","89.2mm","105mm","90.0509mm","105mm","T","180.00","0.1uF"
"C10","CC0603-3M","64.6477mm","98.775mm","64.6477mm","98.775mm","64.6477mm","99.6259mm","T","270.00","22pF"
"C11","CC0603-3M","69.7mm","77.075mm","69.7mm","77.075mm","68.8491mm","77.075mm","T","0.00","330pFx50V"
"C12","CC8X3.5","62.75mm","87.975mm","61mm","87.975mm","61mm","87.975mm","T","0.00","1000uFx10V"
"C13","CC0603-3M","55.925mm","76.6mm","55.925mm","76.6mm","56.7759mm","76.6mm","T","180.00","1uFx16V"
"C14","CC0603-3M","78.4mm","83.775mm","78.4mm","83.775mm","79.2509mm","83.775mm","T","180.00","0.1uFx50V"
"C15","CC16X10_CAP0.5(1)(Primary)","85.525mm","82.235mm","85.525mm","84.775mm","85.525mm","79.695mm","T","270.00","470uF"
"C16","CC1206-MIDI","105.325mm","95.075mm","106.775mm","95.075mm","106.775mm","95.075mm","T","180.00","0.1uFx250V"
"C17","CC0603-3M","79.175mm","86.75mm","79.175mm","86.75mm","78.3241mm","86.75mm","T","0.00","0.1uFx50V"
