Altium Designer Pick and Place Locations
E:\Projects_Files\Projects\Altium_Projects\S6_Line\RS_RF02\Project Outputs for RS_RF02\Pick Place\Pick Place for RS_RF02.csv

========================================================================================================================
File Design Information:

Date:       22.01.18
Time:       11:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"VT1","FQD5P20TM","TopLayer","D-PAK(TO-252AA)","58.7250","44.7750","90","HEXFET Power MOSFET"
"VD1","BAV99","TopLayer","SOT-23(GSD)","74.6750","71.1443","0","1.0 Ampere General Purpose Rectifier"
"QR1","NX5032GA-12.000MHz LN-CD-1","TopLayer","AC5032_2","55.0000","99.8000","180","AC5032/2"
"C12","22pF","TopLayer","CC0603","56.9250","102.5227","360","CC0603"
"C11","22pF","TopLayer","CC0603","53.2750","102.5250","180","CC0603"
"VD13","n.p","TopLayer","LED0805","89.5000","99.5250","90",""
"REP1","REPER_POINT_1.2","TopLayer","REPER1.2","82.5000","107.4500","90","REPER1.2"
"REP2","REPER_POINT_1.2","TopLayer","REPER1.2","51.7500","45.6250","90","REPER1.2"
"XP3","MIF2X02PRP","TopLayer","MIF2X02PRP","86.4600","63.9000","360","MIF2X02PRP"
"XP4","PLD-06","TopLayer","PIN6","54.1600","106.8050","360","PLD06"
"XP2","MIF2X03PRP","TopLayer","MIF2X03PRP","86.4500","89.5000","0","MIF2x03PRP"
"XP1","MIF2X02PRP","TopLayer","MIF2X02PRP","86.4600","54.3000","360","MIF2X02PRP"
"VT2","BC807-40","TopLayer","SOT-23(123)","65.4807","42.4660","180","BC857B"
"VD12","SS14","TopLayer","SMA","69.5250","66.4750","180","Schottky Rectifier"
"VD11","BZX84C39","TopLayer","SOT-23(123)","71.8750","49.6307","90","Zener Voltage Regulator Diode"
"VD10","BZX84C15","TopLayer","SOT-23(123)","69.4000","42.6557","90","Zener Voltage Regulator Diode"
"VD9","SMBJ150A","TopLayer","SMB","81.7000","42.2000","360","SMBJ"
"VD8","GS1M","TopLayer","SMA","76.3000","43.7000","270","GS1M"
"VD7","BL-HGE35A-AV-TRB","TopLayer","LED0805","89.5000","79.3500","90",""
"VD6","BL-B45V1-L","TopLayer","LED3","87.2000","42.2950","90","LED_3"
"VD5","PESD2CAN","TopLayer","SOT-23(123)","76.6443","60.3090","0","TVS for CAN"
"VD4","BAV99","TopLayer","SOT-23(GSD)","74.6750","75.0693","0","1.0 Ampere General Purpose Rectifier"
"VD3","SMBJ5.0A","TopLayer","SMB","78.5500","71.6500","270","SMBJ"
"VD2","SMBJ5.0A","TopLayer","SMB","70.7750","71.6500","90","SMBJ"
"R15","18k 1%","TopLayer","RC0603","57.1753","76.1750","180","RC0603"
"R14","11k 1%","TopLayer","RC0603","56.4000","78.3997","90","RC0603"
"R13","1k 1%","TopLayer","RC0603","68.2500","58.5247","90","RC0603"
"R12","3k 1%","TopLayer","RC0603","68.2500","61.9003","270","RC0603"
"R11","560k","TopLayer","RC0603","63.1503","65.2750","180","RC0603"
"R10","1E","TopLayer","RC0805","65.9500","54.5000","270","RC0805"
"R9","1E","TopLayer","RC0805","63.9250","54.5000","270","RC0805"
"R8","220k","TopLayer","RC1206","66.6250","46.5500","90","RC1206"
"R7","220k","TopLayer","RC1206","70.9250","46.3000","180","RC1206"
"R6","220k","TopLayer","RC1206","72.3750","42.9500","270","RC1206"
"R5","10k","TopLayer","RC0603","67.8747","105.0250","0","RC0603"
"R4","10k","TopLayer","RC0603","69.3003","106.6250","180","RC0603"
"R3","100E","TopLayer","RC0603","60.0250","106.8247","90","RC0603"
"R2","330E","TopLayer","RC0603","88.9747","73.4000","360","RC0603"
"R1","330E","TopLayer","RC0603","89.8000","45.5753","270","RC0603"
"L1","220uH","TopLayer","SDR0805","61.9000","70.9250","360","SDR0805"
"J2","PLS-02","TopLayer","PLS-02","64.7750","106.2800","90","PLS-02"
"J1","PLS-02","TopLayer","PLS-02","72.3250","106.2950","90","PLS-02"
"FU5","MF-SMDF050","TopLayer","MF-SMDF","77.4000","50.6000","270","MF-SMDF"
"FU4","MICROSMD010F-2","TopLayer","RC1210","76.2000","63.7250","180","MICROSMD"
"FU3","MICROSMD010F-2","TopLayer","RC1210","76.2000","56.8500","180","MICROSMD"
"FU2","MICROSMD010F","TopLayer","RC1210","77.9250","80.8000","360","MICROSMD"
"FU1","MICROSMD010F","TopLayer","RC1210","77.9250","77.7000","360","MICROSMD"
"DD5","FM25CL64-G","TopLayer","SO-8","67.5700","83.6690","360","FM25CL64-G"
"DD4","M25PE16","TopLayer","EIAJ_SO8","66.2100","96.4465","90","S25FL016A0LMFI01"
"DD3","LPC11C24FBD48","TopLayer","LQFP-48","57.0500","91.1500","270",""
"DD2","MAX3232","TopLayer","SO16_M","75.7690","96.0100","0","ST232BD/CD"
"DD1","ST3485EBDR","TopLayer","SO-8","75.6310","87.1150","270","SP485"
"DA2","AP2210K-ADJTRG1","TopLayer","SOT23-5","53.2250","77.1250","0","300 mA, Low Voltage, Low Quiescent Current LDO Regulator, 5-Pin SOT-223, Extended Temperature, Tape and Reel"
"DA1","MC34063","TopLayer","SO-8","63.2900","60.4690","180","MC34063"
"C26","0.1uF","TopLayer","CC0603","50.0250","75.3250","270","CC0603"
"C25","4.7uF 6.3V","TopLayer","CC0805","52.8750","79.8750","180","CC0805"
"C24","10uFx6.3V","TopLayer","CC0805","59.1500","77.9750","180","CC0805"
"C23","0.1uF","TopLayer","CC0603","59.1000","79.7750","360","CC0603"
"C22","300pF","TopLayer","CC0603","59.8750","65.2750","360","CC0603"
"C21","0.1uF","TopLayer","CC0603","51.0250","72.0750","360","CC0603"
"C20","1000uFx6.3V","TopLayer","CC8X3.5","53.6750","66.9000","270","CAP0.35"
"C19","470uFx35V","TopLayer","CC16X10_CAP0.5(1)(Primary)","54.5000","57.2650","90","CAP0.5(1)"
"C18","0.1uF","TopLayer","CC0603","65.7750","50.0250","180","CC0603"
