"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","CC0603","67.75mm","30.825mm","67.75mm","30.825mm","68.6mm","30.825mm","T","180.00","200pF"
"C2","CC0603","63.7mm","33.65mm","63.7mm","33.65mm","62.85mm","33.65mm","T","360.00","200pF"
"C3","CC0603","107.5mm","83.85mm","107.5mm","83.85mm","108.35mm","83.85mm","T","180.00","0.1uF"
"C4","CC0603","115.75mm","68.2mm","115.75mm","68.2mm","114.9mm","68.2mm","T","0.00","0.1uF"
"C5","CC0603","102.9mm","60.775mm","102.9mm","60.775mm","102.9mm","61.625mm","T","270.00","0.1uF"
"C6","CC0603","91.6mm","69.375mm","91.6mm","69.375mm","90.75mm","69.375mm","T","360.00","0.1uF"
"C7","CC0603","83.9mm","48.2mm","83.9mm","48.2mm","83.05mm","48.2mm","T","360.00","0.1uF"
"C8","CC0603","91.675mm","59.725mm","91.675mm","59.725mm","91.675mm","60.575mm","T","270.00","0.1uF"
"C9","CC0603","88.6mm","44.35mm","88.6mm","44.35mm","87.75mm","44.35mm","T","0.00","0.1uF"
"C10","CC0603","94.65mm","43.725mm","94.65mm","43.725mm","95.5mm","43.725mm","T","180.00","0.1uF"
"C11","CC0603","37.1mm","59.35mm","37.1mm","59.35mm","36.25mm","59.35mm","T","360.00","0.1uF"
"C28","CC0603","51.35mm","61.325mm","51.35mm","61.325mm","52.2mm","61.325mm","T","180.00","0.1uF"
"C29","CC0603","60.1mm","57.425mm","60.1mm","57.425mm","60.1mm","58.275mm","T","270.00","0.1uF"
"C14","CC1206","82.775mm","43.875mm","82.775mm","43.875mm","84.225mm","43.875mm","T","180.00","0.1uF"
"C15","CC0603","56.225mm","46mm","56.225mm","46mm","56.225mm","45.15mm","T","90.00","0.1 uF"
"C16","CC0603","48.05mm","32.625mm","48.05mm","32.625mm","48.05mm","33.475mm","T","270.00","0.1 uF"
"C17","TAJ-D-1M","41.875mm","42.725mm","41.875mm","42.725mm","44.8722mm","42.725mm","T","180.00","470uFx6.3V"
"C18","CC1210","62.8mm","43.65mm","62.8mm","43.65mm","62.8mm","42.2mm","T","90.00","10uFx50V"
"C19","CC1210","59.675mm","43.65mm","59.675mm","43.65mm","59.675mm","42.2mm","T","90.00","10uFx50V"
"C20","CC0603","53.85mm","51.175mm","53.85mm","51.175mm","53.85mm","50.325mm","T","90.00","0.1 uF"
"C21","CC0603","52.15mm","51.85mm","52.15mm","51.85mm","52.15mm","51mm","T","90.00","10 nF"
"C22","CC0603","48.875mm","46.025mm","48.875mm","46.025mm","48.875mm","45.175mm","T","90.00","330pF"
"C23","CC0603","47.15mm","46.025mm","47.15mm","46.025mm","47.15mm","45.175mm","T","90.00","560pF"
"C24","CC0603","37.575mm","52.075mm","37.575mm","52.075mm","38.425mm","52.075mm","T","180.00","0.1uF"
"C25","CC0805","37.525mm","50.125mm","37.525mm","50.125mm","36.625mm","50.125mm","T","360.00","10uFx6.3V"
"C26","CC0805","39.45mm","46.625mm","39.45mm","46.625mm","38.55mm","46.625mm","T","360.00","4.7uF 6.3V"
"C27","CC0603","43.9mm","46.625mm","43.9mm","46.625mm","43.05mm","46.625mm","T","360.00","0.1uF"
"DA1","SOT-23(123)","105.659mm","80.8066mm","106.675mm","81.975mm","106.675mm","81.9623mm","T","90.00","DRV5033AJQDBZR"
"DA2","SOT-23(123)","115.4566mm","70.916mm","116.625mm","69.9mm","116.6123mm","69.9mm","T","0.00","DRV5033AJQDBZR"
"DA3","SOT-23(123)","105.641mm","61.0934mm","104.625mm","59.925mm","104.625mm","59.9377mm","T","270.00","DRV5033AJQDBZR"
"DA4","SOT-23(123)","95.6684mm","70.916mm","94.5mm","71.932mm","94.5127mm","71.932mm","T","180.00","DRV5033AJQDBZR"
"DA5","S-PDSO-G10","53.35mm","46mm","54.35mm","48.2mm","54.35mm","48.2mm","T","270.00","TPS54260DGQ"
"DA6","SOT23-5","41.3mm","50.825mm","41.3mm","50.825mm","40.35mm","49.575mm","T","90.00","AP2210K-ADJTRG1"
"DD1","LQFP-48","91.55mm","52.1mm","91.55mm","52.1mm","87.35mm","54.85mm","T","0.00","LPC11C24FBD48"
