"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R10","RC0603-3M","31.2mm","73.9mm","31.2mm","73.9mm","30.4253mm","73.9mm","T","360.00","390"
"A2","GSM_antenna_pad","94.4mm","53.75mm","94.4mm","67mm","94.4mm","67mm","B","270.00","GSM_antenna_pad"
"A1","BY-GPS-204","68.6mm","36mm","68.6mm","36mm","68.6mm","36mm","T","90.00","BY-GPS-204"
"XP8","PLS-02L","35.9mm","37.87mm","35.9mm","36.6mm","35.9mm","36.6mm","T","90.00","PLS-02L"
"XP7","PLS-03L","35.9mm","45.84mm","35.9mm","43.3mm","35.9mm","43.3mm","T","90.00","PLS-03L"
"C1","CC0603-3M","55.1mm","34.6mm","55.1mm","34.6mm","55.1mm","33.7491mm","B","90.00","0.1 uF"
"C2","CC0603-3M","52.8mm","34.6mm","52.8mm","34.6mm","52.8mm","33.7491mm","B","90.00","0.1 uF"
"C3","CC0603-3M","40.8mm","35.9mm","40.8mm","35.9mm","40.8mm","35.0491mm","T","90.00","0.1 uF"
"C8","CC0603-3M","42.2mm","38.2mm","42.2mm","38.2mm","42.2mm","39.0509mm","B","270.00","1 uF"
"C9","TAJ-D-1M","66.3mm","71.5mm","66.3mm","71.5mm","69.2972mm","71.5mm","B","180.00","470uF x 6.3V"
"C10","CC0603-3M","81.2mm","70.9mm","81.2mm","70.9mm","82.0509mm","70.9mm","B","180.00","1 uF"
"C11","CC0603-3M","27.6mm","59mm","27.6mm","59mm","27.6mm","59.8509mm","T","270.00","33 pF"
"C12","CC0603-3M","89.6mm","67mm","89.6mm","67mm","88.7491mm","67mm","T","360.00","10 pF"
"C13","CC0603-3M","51.9mm","63.2mm","51.9mm","63.2mm","51.0491mm","63.2mm","B","360.00","33 pF"
"C16","CC0603-3M","51.9mm","58.1mm","51.9mm","58.1mm","51.0491mm","58.1mm","B","360.00","33 pF"
"C17","CC0603-3M","51.9mm","60.7mm","51.9mm","60.7mm","51.0491mm","60.7mm","B","360.00","33 pF"
"DA1","SL868","49.825mm","40.9mm","55.8mm","33.9mm","55.8mm","33.9mm","T","180.00","SL869_V2"
"L1","RC0805-MIDI-2","53.957mm","37.3mm","55.1mm","37.3mm","55.1mm","37.3mm","B","180.00","10 uH"
"M1","GL868-DUAL","71.9mm","60.2mm","71.9mm","60.2mm","60.15mm","70mm","T","0.00","GL868-DUAL"
"R1","RC0603-3M","48.7mm","36.4mm","48.7mm","36.4mm","48.7mm","37.1747mm","B","270.00","10k"
"R2","RC0603-3M","88.1mm","49.2mm","88.1mm","49.2mm","87.3253mm","49.2mm","T","0.00","330"
"R3","RC0603-3M","88.2mm","61.2mm","88.2mm","61.2mm","88.9747mm","61.2mm","T","180.00","560"
"R4","RC0603-3M","88.2mm","55.3mm","88.2mm","55.3mm","88.9747mm","55.3mm","T","180.00","330"
"R5","RC0603-3M","63.8mm","59.7mm","63.8mm","59.7mm","63.0253mm","59.7mm","B","360.00","10k"
"R6","RC0603-3M","63.8mm","61mm","63.8mm","61mm","64.5747mm","61mm","B","180.00","47k"
"R9","RC0603-3M","74.4mm","70.7mm","74.4mm","70.7mm","74.4mm","71.4747mm","B","270.00","10k"
"R11","RC0603-3M","33.2mm","70.4mm","33.2mm","70.4mm","33.2mm","71.1747mm","T","270.00","10k"
"R12","RC0603-3M","31.9mm","70.4mm","31.9mm","70.4mm","31.9mm","69.6253mm","T","90.00","47k"
"VD1","SOD80","50.6mm","35.6mm","50.6mm","35.6mm","50.6mm","33.949mm","B","270.00","BZV55C5V6"
"VD2","LED3","91.3mm","47.97mm","91.3mm","46.7mm","91.3mm","46.7mm","T","90.00","BL-B21V1L"
"VD3","LED3","91.3mm","53.97mm","91.3mm","52.7mm","91.3mm","52.7mm","T","90.00","BL-B31V1-L"
"VD4","LED3","91.3mm","59.97mm","91.3mm","58.7mm","91.3mm","58.7mm","T","90.00","BL-B45V1-L"
"VD5","SOD80","72.5mm","71.5mm","72.5mm","71.5mm","72.5mm","69.849mm","B","270.00","BZV55C5V6"
"VD6","LED0603","28.4mm","73.9mm","28.4mm","73.9mm","29.1747mm","73.9mm","T","180.00","LGQ971-Z"
"VT1","SOT-23(123)","45.7684mm","36.116mm","44.6mm","35.1mm","44.6127mm","35.1mm","B","180.00","IRLML6402"
"VT2","SOT-23(123)","63.584mm","63.9684mm","64.6mm","62.8mm","64.6mm","62.8127mm","B","270.00","BC846BLT1"
"VT3","SOT-23(123)","77.3684mm","70.916mm","76.2mm","69.9mm","76.2127mm","69.9mm","B","180.00","IRLML6402"
"VT4","SOT-23(123)","28.9316mm","70.616mm","30.1mm","69.6mm","30.0873mm","69.6mm","T","0.00","BC846BLT1"
"XP2","PIN16","44.61mm","29.47mm","53.5mm","28.2mm","53.5mm","28.2mm","B","180.00","PLD-16"
"XP3","PIN16","44.61mm","71.47mm","53.5mm","70.2mm","53.5mm","70.2mm","B","180.00","PLD-16"
"XP5","SCVW06A25020","43.3635mm","59.39mm","56mm","63.2mm","56mm","63.2mm","T","180.00","SCV-W06A25-020"
"1","REPER1.2","89.3mm","71.7mm","89.3mm","71.7mm","89.3mm","71.7mm","B","180.00","Comment"
"2","REPER1.2","37.5mm","33.2mm","37.5mm","33.2mm","37.5mm","33.2mm","T","0.00","Comment"
"3","REPER1.2","89.3mm","71.7mm","89.3mm","71.7mm","89.3mm","71.7mm","T","0.00","Comment"
"4","REPER1.2","32.5mm","37.0499mm","32.5mm","37.0499mm","32.5mm","37.0499mm","B","180.00","Comment"
"C4","CC0603-3M","55.3mm","43.4mm","55.3mm","43.4mm","55.3mm","44.2509mm","B","270.00","0.1 uF"
"C5","TAJ-A_M","40.4mm","36.397mm","40.4mm","35mm","40.4mm","35mm","B","90.00","10uF x 6.3V"

