"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"4","REPER1.2","32.6mm","36.6mm","32.6mm","36.6mm","32.6mm","36.6mm","B","180.00","Comment"
"3","REPER1.2","88.2mm","82.5mm","88.2mm","82.5mm","88.2mm","82.5mm","B","180.00","Comment"
"1","REPER1.2","38.5mm","80.5mm","38.5mm","80.5mm","38.5mm","80.5mm","T","0.00","Comment"
"2","REPER1.2","95.1mm","36.4mm","95.1mm","36.4mm","95.1mm","36.4mm","T","0.00","Comment"
"SW1","LYS-Z07","54.9mm","60.5mm","54.9mm","56.8mm","54.9mm","56.8mm","T","90.00","LYS-Z07"
"XP4","MW06R","49.5mm","57.55mm","49.5mm","51.3mm","49.5mm","51.3mm","T","90.00","MW06R"
"C28","CC0603-3M","35.4mm","42.2mm","35.4mm","42.2mm","35.4mm","43.0509mm","T","270.00","0.1 uF"
"VT4","SOT-23(123)","41.616mm","46.4684mm","40.6mm","45.3mm","40.6mm","45.3127mm","T","270.00","BC846B"
"FU2","RC1210","54.5mm","56.1mm","54.5mm","56.1mm","53.05mm","56.1mm","B","360.00","MICROSMD010F"
"FU1","RC1210","54.5mm","59.2mm","54.5mm","59.2mm","53.05mm","59.2mm","B","360.00","MICROSMD010F"
"DD4","SO14","39.21mm","44.406mm","35.4mm","47.2mm","35.4mm","47.2mm","B","360.00","SN74HC14D"
"XP15","MW03D","94.5mm","76.9mm","97mm","76.9mm","97mm","76.9mm","T","180.00","MW03D"
"XP3","PIN2W","94.03mm","47.6mm","95.3mm","47.6mm","95.3mm","47.6mm","T","180.00","PLS-02"
"XP2","PBD16","49.11mm","71.47mm","58mm","70.2mm","58mm","70.2mm","T","180.00","PBD-16"
"XP1","PBD16","49.11mm","29.47mm","58mm","28.2mm","58mm","28.2mm","T","180.00","PBD-16"
"VT3","SOT-23(123)","42.2316mm","83.884mm","43.4mm","84.9mm","43.3873mm","84.9mm","B","360.00","BC856B"
"VT2","D-PAK(TO-252AA)","41.15mm","85.3mm","42.4mm","85.3mm","37.9mm","87.58mm","T","360.00","IRFR9220"
"VT1","SOT-23(123)","46.616mm","46.4684mm","45.6mm","45.3mm","45.6mm","45.3127mm","T","270.00","BC846B"
"VD19","SMB","67.4mm","87.1mm","67.4mm","87.1mm","65.1mm","87.1mm","T","180.00","SMBJ5.0A"
"VD18","SMA","75.7mm","77.2mm","75.7mm","77.2mm","77.75mm","77.2mm","T","180.00","SK34SMA"
"VD17","SOD-80","49.7mm","83.2mm","49.7mm","83.2mm","49.7mm","81.549mm","B","270.00","BZV55C33"
"VD16","SOD-80","37.8mm","85.5mm","37.8mm","85.5mm","37.8mm","87.151mm","B","90.00","BZV55C15"
"VD15","DO-201","45.9mm","78.7mm","48.9mm","78.7mm","48.9mm","78.7mm","T","180.00","1.5KE150A"
"VD14","SMA","39mm","79.1mm","39mm","79.1mm","39mm","77.05mm","B","90.00","GS1M"
"VD9","SOT-23(GSD)","41.4684mm","57.416mm","40.3mm","56.4mm","40.3127mm","56.4mm","B","90.00","BAT54S"
"VD8","SOT-23(GSD)","69.3316mm","63.616mm","70.5mm","62.6mm","70.4873mm","62.6mm","T","90.00","BAT54S"
"VD1","SOT-23(123)","59.6684mm","57.716mm","58.5mm","56.7mm","58.5127mm","56.7mm","B","180.00","PESD2CAN"
"R34","RC0603-3M","77.9mm","73.9mm","77.9mm","73.9mm","77.9mm","74.6747mm","T","270.00","36k"
"R33","RC0603-3M","83.9mm","73.9mm","83.9mm","73.9mm","83.9mm","74.6747mm","T","270.00","2k"
"R32","RC0603-3M","79.2mm","73.9mm","79.2mm","73.9mm","79.2mm","74.6747mm","T","270.00","10k"
"R31","RC0603-3M","86.5mm","73.9mm","86.5mm","73.9mm","86.5mm","74.6747mm","T","270.00","100k"
"R30","RC0603-3M","85.2mm","73.9mm","85.2mm","73.9mm","85.2mm","74.6747mm","T","270.00","100k"
"R29","RC0603-3M","87.8mm","73.9mm","87.8mm","73.9mm","87.8mm","74.6747mm","T","270.00","100k"
"R28","RC0603-3M","75.3mm","73.9mm","75.3mm","73.9mm","75.3mm","74.6747mm","T","270.00","51k"
"R26","RC0603-3M","66.1mm","83.4mm","66.1mm","83.4mm","66.1mm","84.1747mm","T","270.00","4k7"
"R25","RC0603-3M","61.8mm","83.5mm","61.8mm","83.5mm","61.8mm","82.7253mm","T","90.00","12k 1%"
"R24","RC0603-3M","61.8mm","80.8mm","61.8mm","80.8mm","61.8mm","80.0253mm","T","90.00","4k7 1%"
"R23","RC1206-2M","41.6002mm","87.1mm","40mm","87.1mm","40mm","87.1mm","B","360.00","220k"
"R22","RC0603-3M","93.9mm","54.9mm","93.9mm","54.9mm","94.6747mm","54.9mm","T","180.00","47k 1%"
"R21","RC1206-2M","46.6998mm","87.1mm","48.3mm","87.1mm","48.3mm","87.1mm","B","180.00","220k"
"R20","RC1206-2M","47.2mm","83.2998mm","47.2mm","84.9mm","47.2mm","84.9mm","B","270.00","220k"
"R19","RC0603-3M","91.2mm","54.9mm","91.2mm","54.9mm","91.9747mm","54.9mm","T","180.00","300k 1%"
"R18","RC0603-3M","82.8mm","56.2mm","82.8mm","56.2mm","82.8mm","56.9747mm","T","270.00","20k 1%"
"R17","RC0603-3M","41.4mm","43.5mm","41.4mm","43.5mm","40.6253mm","43.5mm","T","360.00","47k"
"R16","RC0603-3M","82.8mm","59mm","82.8mm","59mm","82.8mm","58.2253mm","T","90.00","12k 1%"
"R15","RC0603-3M","73.5mm","63.6mm","73.5mm","63.6mm","72.7253mm","63.6mm","T","360.00","10k"
"R14","RC0603-3M","38.6mm","43.5mm","38.6mm","43.5mm","37.8253mm","43.5mm","T","360.00","4k7"
"R13","RC0603-3M","66.3mm","64.4mm","66.3mm","64.4mm","66.3mm","63.6253mm","T","90.00","120k"
"R12","RC0603-3M","45.2mm","57.4mm","45.2mm","57.4mm","44.4253mm","57.4mm","B","360.00","13k"
"R11","RC1206-2M","44.3998mm","53.8mm","46mm","53.8mm","46mm","53.8mm","B","180.00","240"
"R10","RC0603-3M","45.2mm","56mm","45.2mm","56mm","44.4253mm","56mm","B","360.00","47k"
"R9","RC1206-2M","39.3998mm","53.8mm","41mm","53.8mm","41mm","53.8mm","B","180.00","270"
"R8","RC0603-3M","46.4mm","43.4mm","46.4mm","43.4mm","45.6253mm","43.4mm","T","360.00","47k"
"R7","RC0603-3M","44.9mm","41.9mm","44.9mm","41.9mm","44.1253mm","41.9mm","T","360.00","4k7"
"R6","RC1206-2M","44.3998mm","51.3mm","46mm","51.3mm","46mm","51.3mm","B","180.00","240"
"R5","RC1206-2M","39.3998mm","51.3mm","41mm","51.3mm","41mm","51.3mm","B","180.00","270"
"R4","RC0603-3M","67.2mm","47.7mm","67.2mm","47.7mm","67.2mm","48.4747mm","B","270.00","0"
"R3","RC0603-3M","58.6mm","57.6mm","58.6mm","57.6mm","58.6mm","56.8253mm","T","90.00","10k"
"R2","RC0603-3M","37.3mm","31.5mm","37.3mm","31.5mm","37.3mm","30.7253mm","T","90.00","10k"
"R1","RC0603-3M","89.9mm","48.4mm","89.9mm","48.4mm","89.9mm","47.6253mm","T","90.00","10k"
"QR2","QR_32768","78.35mm","50.9mm","79.4mm","50.9mm","79.4mm","50.9mm","B","90.00","32768 Hz"
"QR1","AC5032_2","72.9mm","52mm","72.9mm","52mm","74.9mm","52mm","T","180.00","12.0 MHz"
"L2","SDR0805","75.2mm","84mm","75.2mm","84mm","75.2mm","81.333mm","T","90.00","15 uH"
"L1","L0603","83.3mm","51.1mm","83.3mm","51.1mm","84.0747mm","51.1mm","B","180.00","10uH"
"FU5","RXE-110","33.04mm","77.6mm","30.5mm","77.6mm","30.5mm","77.6mm","T","360.00","RXE-110"
"DD3","SO-8","63.495mm","47.694mm","65.4mm","44.9mm","65.4mm","44.9mm","B","180.00","SN65HVD234D"
"DD2","MLP8-EIAJ_SO8","43.6mm","37.8mm","43.6mm","37.8mm","46.9528mm","35.895mm","T","180.00","M25PE16-VMW"
"DD1","TQFP-80_0.5","80mm","41.4mm","80mm","41.4mm","84.75mm","48.1mm","T","270.00","LPC1754FBD80"
"DA4","P-PQFP-N20","82.1mm","68.8mm","82.1mm","68.8mm","82.85mm","66.6mm","T","90.00","BQ24070"
"DA3","SO-8_EXP_PAD","66.9mm","79.1mm","66.9mm","79.1mm","69.35mm","77.195mm","T","180.00","L5973D"
"DA2","SOT223-6","94mm","59.2mm","94mm","59.2mm","91mm","61.74mm","T","0.00","MCP1824T-ADJE/DC"
"DA1","LGA-14","55.2mm","46.5mm","55.2mm","46.5mm","53.2mm","45.25mm","T","0.00","MMA7455L"
"C47","CC0603-3M","76.6mm","73.9mm","76.6mm","73.9mm","76.6mm","73.0491mm","T","90.00","10 nF"
"C46","TAJ-B-1M","95.897mm","72.5mm","94.5mm","72.5mm","94.5mm","72.5mm","B","360.00","47uF x 6.3V"
