Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

BR1        SDIP                  92.49mm      133.47mm       89.95mm     129.025mm       89.95mm     129.025mm  T        180.00 DF10S          
C1         CC1206               92.125mm      57.425mm      92.125mm      57.425mm      93.575mm      57.425mm  T        180.00 10uF           
C2         CC1206               92.475mm      78.525mm      92.475mm      78.525mm      93.925mm      78.525mm  T        180.00 10uF           
C3         CC1206                95.85mm      58.875mm       95.85mm      58.875mm       95.85mm      60.325mm  T        270.00 1uF            
C4         CC1206               96.375mm      79.975mm      96.375mm      79.975mm      96.375mm      81.425mm  T        270.00 1uF            
C7         CC1206               101.65mm      57.425mm      101.65mm      57.425mm       100.2mm      57.425mm  T          0.00 10uF           
C8         CC1206              102.325mm      78.525mm     102.325mm      78.525mm     100.875mm      78.525mm  T        360.00 10uF           
C9         CC1206                 92.7mm      99.825mm        92.7mm      99.825mm       94.15mm      99.825mm  T        180.00 10uF           
C10        CC1206                96.25mm     101.275mm       96.25mm     101.275mm       96.25mm     102.725mm  T        270.00 1uF            
C12        CC1206              102.225mm       99.85mm     102.225mm       99.85mm     100.775mm       99.85mm  T        360.00 10uF           
C13        CAP_630V_SMD         121.75mm       117.9mm     121.675mm       118.1mm      121.75mm      125.52mm  T        270.00 100nFx630V     
C14        CAP_630V_SMD         115.15mm       117.9mm     115.075mm       118.1mm      115.15mm      125.52mm  T        270.00 100nFx630V     
DA1        eSOP-12                99.8mm          50mm     100.025mm        49.9mm       94.35mm       54.45mm  T        360.00 LNK460KG       
DA2        eSOP-12                99.8mm       71.35mm     100.025mm       71.25mm       94.35mm        75.8mm  T        360.00 LNK460KG       
DA3        eSOP-12              99.825mm      92.075mm      100.05mm      91.975mm      94.375mm      96.525mm  T        360.00 LNK460KG       
F1         Fuse_Belfuse          97.65mm      146.74mm      97.675mm      146.65mm       97.65mm       144.2mm  T         90.00 Belfuse_3A     
L1         IND_CDRH129         115.675mm        58.4mm       116.3mm       58.55mm     110.725mm        58.4mm  T        270.00 CDRH129HF-331MC
L2         IND_CDRH129         115.675mm       76.45mm       116.3mm        76.6mm     110.725mm       76.45mm  T        270.00 CDRH129HF-331MC
L3         IND_CDRH129         115.675mm      93.975mm       116.3mm      94.125mm     110.725mm      93.975mm  T        270.00 CDRH129HF-331MC
L4         IND_CDRH129          106.25mm       140.1mm       106.4mm     139.475mm      106.25mm      145.05mm  T        180.00 CDRH129HF-102MC
L5         IND_CDRH129           105.6mm       117.4mm      105.75mm     116.775mm       105.6mm      122.35mm  T        180.00 CDRH129HF-102MC
L6         IND_CDRH129            93.2mm       117.4mm       93.35mm     116.775mm        93.2mm      122.35mm  T        180.00 CDRH129HF-102MC
L7         IND_CDRH129           118.8mm       140.1mm      118.95mm     139.475mm       118.8mm      145.05mm  T        180.00 CDRH129HF-102MC
R1         RC1206               98.075mm      58.875mm      98.075mm      58.875mm      98.075mm      57.425mm  T         90.00 3k3            
R2         RC1206                 98.6mm      79.975mm        98.6mm      79.975mm        98.6mm      78.525mm  T         90.00 3k3            
R3         RC1206              133.475mm      57.875mm     133.475mm      57.875mm     132.025mm      57.875mm  T          0.00 100k           
R4         RC1206              133.475mm      88.775mm     133.475mm      88.775mm     132.025mm      88.775mm  T          0.00 100k           
R5         RC1206               101.65mm        59.7mm      101.65mm        59.7mm       100.2mm        59.7mm  T        360.00 1E2            
R6         RC1206              102.325mm      80.875mm     102.325mm      80.875mm     100.875mm      80.875mm  T          0.00 1E2            
R7         RC1206                98.55mm       101.3mm       98.55mm       101.3mm       98.55mm       99.85mm  T         90.00 3k3            
R8         RC1206               133.45mm      120.25mm      133.45mm      120.25mm         132mm      120.25mm  T          0.00 100k           
R9         RC1206              102.225mm     102.125mm     102.225mm     102.125mm     100.775mm     102.125mm  T        360.00 1E2            
R10        RC1206               98.625mm     139.925mm      98.625mm     139.925mm      98.625mm     141.375mm  T        270.00 3k3            
R11        RC1206                120.3mm       106.3mm       120.3mm       106.3mm      121.75mm       106.3mm  T        180.00 3k3            
R12        RC1206               121.95mm     148.225mm      121.95mm     148.225mm       120.5mm     148.225mm  T        360.00 3k3            
REPER1     REPER1.2               89.1mm      41.825mm        89.1mm      41.825mm        89.1mm      41.825mm  T         90.00 REPER1.2       
REPER2     REPER1.2              129.4mm     161.775mm       129.4mm     161.775mm       129.4mm     161.775mm  T         90.00 REPER1.2       
RU1        Varistor_7mm_SMD     103.875mm       131.4mm      103.75mm     131.325mm     101.375mm       131.4mm  T         90.00 KLS6-07D       
VD1        SMA                  102.25mm      62.675mm      102.25mm      62.675mm       104.3mm      62.675mm  T        180.00 ES1J           
VD2        SMA                  102.95mm        83.8mm      102.95mm        83.8mm         105mm        83.8mm  T        180.00 ES1J           
VD3        SMA                 102.825mm      106.35mm     102.825mm      106.35mm     104.875mm      106.35mm  T        180.00 ES1J           
VD4        SMA                   89.45mm      106.15mm       89.45mm      106.15mm       89.45mm       108.2mm  T        270.00 ES1J           
X1         PIN_7x3mm_SMD       137.775mm      51.675mm     137.775mm      51.675mm     137.775mm      51.675mm  T        180.00 PIN_7x3mm_SMD  
X2         PIN_7x3mm_SMD       137.775mm        47.7mm     137.775mm        47.7mm     137.775mm        47.7mm  T        180.00 PIN_7x3mm_SMD  
X3         PIN_7x3mm_SMD       137.775mm       152.6mm     137.775mm       152.6mm     137.775mm       152.6mm  T        180.00 PIN_7x3mm_SMD  
