Altium Designer Pick and Place Locations
F:\WORK\Altium_Projects\Petroline\CONTROLLER_TRK_HV3\Project Outputs for CONTROLLER_TRK_HV3\Pick Place\Pick Place for CONTROLLER_TRK_HV3.csv

========================================================================================================================
File Design Information:

Date:       23.03.20
Time:       15:52
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"VD25","LL4148","BottomLayer","SOD-80","58,2000","23,9999","270","LL4148"
"R74","10k","TopLayer","RC0603","114,2003","78,5000","180","RC0603"
"R70","10k","TopLayer","RC0603","81,8000","79,2003","270","RC0603"
"R65","10k","TopLayer","RC0603","97,2000","77,8997","90","RC0603"
"R52","10k","TopLayer","RC0603","84,4003","80,7000","180","RC0603"
"J9","PLS-02","TopLayer","PLS-02","78,2300","78,4000","180","PLS-02"
"J8","PLS-02","TopLayer","PLS-02","93,4700","78,4000","180","PLS-02"
"J7","PLS-02","TopLayer","PLS-02","85,3300","78,4000","180","PLS-02"
"VD16","SK34SMA","BottomLayer","SMA","71,2500","31,3000","180","Schottky Rectifier"
"R51","20E","BottomLayer","R2512","54,9750","34,7250","90","Resistor 2512 1W"
"R73","110k 1%","TopLayer","RC0603","84,7747","50,7000","180","RC0603"
"R72","1M 1%","TopLayer","RC0603","81,7003","50,7000","180","RC0603"
"R71","1E","TopLayer","RC0603","78,5000","44,6997","90","RC0603"
"L3","6.8 uH","TopLayer","SDR0805","81,8000","33,8000","90","SDR0805"
"DA5","TPS61030PWP","TopLayer","R-PDSO-G16","82,7000","43,2000","90","Boost converter"
"C41","10uFx6.3V","TopLayer","CC0805","76,2000","30,4000","90","CC0805"
"C40","CAP0.35","TopLayer","CC8X3.5","91,3500","37,0000","360","CAP0.35"
"C39","CAP0.35","TopLayer","CC8X3.5","91,3500","45,5000","360","CAP0.35"
"C38","2.2uF 6.3V","TopLayer","CC0805","80,0000","48,8000","360","CC0805"
"C36","10pF","TopLayer","CC0603","83,8000","48,8000","180","CC0603"
"C35","4.7nF","TopLayer","CC0603","78,5000","41,3000","90","CC0603"
"RV1","KLS6-14D431K","TopLayer","Varistor_14MM","35,6002","29,7998","90","Varistor diameter 14mm"
"R53","KNP 1W-S (3.5 x 10)  33E","TopLayer","RES_10x4_THD","28,4000","82,8450","270","THR resisto r10x3mm 0.5W"
"C33","MKS4O121003F00KSSD","TopLayer","CAP_HV_13x5","34,5000","47,3000","270",""
"C31","MKS4O121003F00KSSD","TopLayer","CAP_HV_13x5","34,5000","82,8000","270",""
"R69","0E","TopLayer","RC0805","71,6000","80,8000","360","RC0805"
"R68","0E","TopLayer","RC0805","71,6000","82,8000","360","RC0805"
"VD15","BAT54C","TopLayer","SOT-23(123)","103,7340","72,2066","90","BAT54C"
"VD14","LL4148","BottomLayer","SOD-80","118,5000","91,2000","180","LL4148"
"U6","K2010C","TopLayer","PC817","68,2000","68,9000","180","K10102C"
"U5","K2010C","TopLayer","PC817","68,2000","77,0000","180","K10102C"
"U4","K2010C","TopLayer","PC817","68,2000","56,0000","180","K10102C"
"R67","330E","TopLayer","RC0603","72,6003","64,8000","180","RC0603"
"BAT1","CR2032-VBY4","TopLayer","CR2032_ONBOARD","110,3750","74,5500","90",""
"C30","100uFx35V","TopLayer","CC8X3.5","54,1000","10,0500","270","Radial capacitor"
"C16","100uFx35V","TopLayer","CC8X3.5","62,8000","10,0500","270","Radial capacitor"
"XP15","2EDGR-5.0-02P-14-00AH","TopLayer","2EDGR-5.0","72,6000","16,1000","180",""
"R66","KNP 1W-S (3.5 x 10)  33E","TopLayer","RES_10x4_THD","34,6000","65,2450","270","THR resisto r10x3mm 0.5W"
"R64","KNP 1W-S (3.5 x 10)  33E","TopLayer","RES_10x4_THD","28,5000","49,5450","270","THR resisto r10x3mm 0.5W"
"R63","0E","BottomLayer","RC0805","105,8000","44,0000","180","RC0805"
"R62","0E","BottomLayer","RC0805","101,9000","48,7000","180","RC0805"
"DA4","MC78M05CDTRK","BottomLayer","D-PAK(TO-252AA)","59,6500","17,8800","180","MC78M12CDTRK"
"DA3","n.p","TopLayer","CME0303S3C","103,3700","46,3000","180","DC/DC converter"
"C37","MKS4O121003F00KSSD","TopLayer","CAP_HV_13x5","28,5000","66,2000","270",""
"C34","0.1 uF","BottomLayer","CC0603","65,2977","16,1000","90","CC0603"
"C32","0.1 uF","BottomLayer","CC0603","65,3000","19,8000","270","CC0603"
"XP14","2EDGR-5.0-02P-14-00AH","TopLayer","2EDGR-5.0","116,2000","95,0000","360",""
"XP13","MIF2X03PRP","TopLayer","MIF2X03PRP","86,2000","13,8500","270","MIF2X03PRP"
"XP12","2EDGR-5.0-02P-14-00AH","TopLayer","2EDGR-5.0","104,1000","95,0000","360",""
"XP11","MIF2X02PRP","TopLayer","MIF2X02PRP","110,2000","13,8400","270","MIF2X02PRP"
"XP10","2EDGR-5.0-02P-14-00AH","TopLayer","2EDGR-5.0","92,0000","95,0000","0",""
