"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"REP2","REPER1.2","130.1mm","32.875mm","130.1mm","32.875mm","130.1mm","32.875mm","T","90.00","REPER_POINT_1.2"
"REP1","REPER1.2","68.925mm","118.3mm","68.925mm","118.3mm","68.925mm","118.3mm","T","90.00","REPER_POINT_1.2"
"XP10","DG330-3PIN","140.825mm","37.525mm","140.825mm","37.525mm","135.825mm","37.525mm","T","360.00","DG330-3PIN"
"XP14","DG330-3PIN","118.475mm","37.525mm","118.475mm","37.525mm","113.475mm","37.525mm","T","360.00","DG330-3PIN"
"XP9","BH-10","65.97mm","97.595mm","64.7mm","102.675mm","64.7mm","102.675mm","T","270.00","BH-10"
"VT9","SOT-23(123)","72.1316mm","71.166mm","73.3mm","70.15mm","73.2873mm","70.15mm","T","0.00","BC817-40"
"VD36","SOD-523","125.325mm","44.875mm","125.325mm","44.875mm","126.125mm","44.875mm","T","180.00","ESD5Z3.3T1G/T5G"
"VD35","SOD-523","118.825mm","46.1mm","118.825mm","46.1mm","118.825mm","46.9mm","T","270.00","ESD5Z3.3T1G/T5G"
"VD34","SOD-523","94.45mm","83.925mm","94.45mm","83.925mm","95.25mm","83.925mm","T","180.00","ESD5Z3.3T1G/T5G"
"VD33","SOD-523","96.95mm","83.925mm","96.95mm","83.925mm","96.15mm","83.925mm","T","360.00","ESD5Z3.3T1G/T5G"
"VD32","SOD-523","85.25mm","87.65mm","85.25mm","87.65mm","85.25mm","86.85mm","T","90.00","ESD5Z3.3T1G/T5G"
"VD31","SOD-523","92.45mm","89.8mm","92.45mm","89.8mm","92.45mm","90.6mm","T","270.00","ESD5Z3.3T1G/T5G"
"VD30","SOD-523","71.425mm","93mm","71.425mm","93mm","71.425mm","92.2mm","T","90.00","ESD5Z3.3T1G/T5G"
"VD29","SOD-523","72.45mm","100.35mm","72.45mm","100.35mm","72.45mm","101.15mm","T","270.00","ESD5Z3.3T1G/T5G"
"VD28","SOD-80","75.975mm","93.2mm","75.975mm","93.2mm","74.324mm","93.2mm","T","180.00","LL4148"
"VD27","SOD-80","75.975mm","98mm","75.975mm","98mm","74.324mm","98mm","T","180.00","LL4148"
"VD26","SOD-523","71.45mm","103.225mm","71.45mm","103.225mm","71.45mm","102.425mm","T","90.00","ESD5Z3.3T1G/T5G"
"VD25","SOD-523","80.2mm","90.375mm","80.2mm","90.375mm","81mm","90.375mm","T","180.00","ESD5Z3.3T1G/T5G"
"VD24","SOD-80","81.075mm","88.45mm","81.075mm","88.45mm","79.424mm","88.45mm","T","180.00","LL4148"
"VD6","SOD-80","75.975mm","95.6mm","75.975mm","95.6mm","74.324mm","95.6mm","T","180.00","LL4148"
"R60","RC0603","94.5003mm","87.85mm","94.5mm","87.85mm","95.275mm","87.85mm","T","180.00","10k"
"FU6","RC1210","124.525mm","48.2mm","124.525mm","48.2mm","124.525mm","46.6mm","T","90.00","MICROSMD010F-2"
"FU5","RC1210","121.2mm","48.2mm","121.2mm","48.2mm","121.2mm","46.6mm","T","90.00","MICROSMD010F-2"
"VD5","SOT-23(GSD)","95.116mm","90.8434mm","94.1mm","89.675mm","94.1mm","89.6877mm","T","360.00","BAT54S"
"R59","RC0603","91.9mm","94.4753mm","91.9mm","94.475mm","91.9mm","95.25mm","T","270.00","33k"
"R58","RC0603","90.175mm","94.4753mm","90.175mm","94.475mm","90.175mm","95.25mm","T","270.00","100k"
"C36","CC0603","93.6mm","94.1mm","93.6mm","94.1mm","93.6mm","94.95mm","T","270.00","0.1uF"
"C1","CC0805","82.475mm","96.9mm","82.475mm","96.9mm","82.475mm","96mm","T","90.00","10uF"
"C2","CC0603","80.7mm","96.95mm","80.7mm","96.95mm","80.7mm","96.1mm","T","90.00","0.1uF"
"C4","CC0603","111.45mm","55.4mm","111.45mm","55.4mm","111.45mm","54.55mm","T","90.00","0.1uF"
"C5","CC0603","112.85mm","50.55mm","112.85mm","50.55mm","112.85mm","49.7mm","T","90.00","1uF"
"C6","CC0603","114.85mm","61.6mm","114.85mm","61.6mm","114.85mm","62.45mm","T","270.00","1uF"
"C7","CC0805","123.725mm","64.3mm","123.725mm","64.3mm","124.625mm","64.3mm","T","180.00","10uFx6.3V"
"C8","CC0603","119.7mm","61.75mm","119.7mm","61.75mm","119.7mm","60.9mm","T","90.00","10nF"
"C9","CC0603","80.85mm","72.725mm","80.85mm","72.725mm","81.7mm","72.725mm","T","180.00","0.1uF"
"C10","CC0603","87.175mm","72.2227mm","87.175mm","72.2227mm","86.325mm","72.2227mm","T","360.00","0.1uF"
"C11","CC0603","92.325mm","72.225mm","92.325mm","72.225mm","93.175mm","72.225mm","T","180.00","0.1uF"
"C12","CC0603","88.725mm","87.525mm","88.725mm","87.525mm","88.725mm","88.375mm","T","270.00","0.1uF"
"C13","CC0603","103.95mm","69.65mm","103.95mm","69.65mm","104.8mm","69.65mm","T","180.00","0.1uF"
"C14","CC0603","78.525mm","84.075mm","78.525mm","84.075mm","78.525mm","83.225mm","T","90.00","CC0603"
