Altium Designer Pick and Place Locations
E:\Projects_Files\Projects\Altium_Projects\Petroline\Controller_TRK_hv2\Project Outputs for Controller_TRK_hv2\Pick Place\Pick Place for Controller_TRK_hv2.csv

========================================================================================================================
File Design Information:

Date:       18.01.19
Time:       16:41
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"L2","L0603","TopLayer","L0603","108,1503","76,3000","0","L0603"
"C32","10nF","TopLayer","CC0603","105,8500","75,4500","90","CC0603"
"C31","10nF","TopLayer","CC0603","110,4500","75,4500","90","CC0603"
"C30","200pF","TopLayer","CC0603","116,7250","102,2750","180","CC0603"
"C29","0.1uF","TopLayer","CC0603","123,5500","96,8250","90","CC0603"
"C28","200pF","TopLayer","CC0603","102,2000","103,5000","180","CC0603"
"VD14","SMBJ15A","TopLayer","SMB","128,1750","96,3750","270","SMBJ"
"XP15","PLS04","TopLayer","PIN04S","140,1800","115,5750","180","PLS04"
"C27","220uFx35V","TopLayer","CC16X10_CAP0.5(1)(Primary)","127,2250","61,6400","90","CAP0.5(1)"
"DD1","LPC11C24FBD48","TopLayer","LQFP48","118,3000","82,5250","0",""
"XP14","PLS03","TopLayer","PLS-03","139,9000","120,1000","180","PLS03"
"XP13","PLD-06","TopLayer","PIN6","93,5550","93,0000","270","PLD06"
"XP12","DG330-2PIN","TopLayer","DG330-2PIN","110,3250","37,2000","360",""
"XP11","DG330-2PIN","TopLayer","DG330-2PIN","126,3500","115,0500","180",""
"XP10","DG330-2PIN","TopLayer","DG330-2PIN","100,3250","37,2000","0",""
"XP8","DG330-2PIN","TopLayer","DG330-2PIN","139,9250","69,7000","90",""
"XP7","DG330-2PIN","TopLayer","DG330-2PIN","67,8750","115,1250","180",""
"XP6","DG330-2PIN","TopLayer","DG330-2PIN","80,9000","115,1250","180",""
"XP5","DG330-3PIN","TopLayer","DG330-3PIN","62,5000","37,4000","360",""
"XP4","DG330-2PIN","TopLayer","DG330-2PIN","130,3250","37,2000","0",""
"XP3","DG330-2PIN","TopLayer","DG330-2PIN","140,3250","37,2000","0",""
"XP2","BH-10","TopLayer","BH-10","141,4050","91,4150","270","BH-10"
"XP1","MW03D","TopLayer","MW03D","77,6000","51,6750","270","MW03D"
"VT14","BC817-40","TopLayer","SOT-23(123)","87,4000","96,8443","270","NPN 500ma transistor"
"VT13","BC817-40","TopLayer","SOT-23(123)","87,4000","85,7557","270","NPN 500ma transistor"
"VT12","BC817-40","TopLayer","SOT-23(123)","87,4000","74,9443","270","NPN 500ma transistor"
"VT11","BC857","TopLayer","SOT-23(123)","133,5840","53,1693","90","PNP 100ma transistor"
"VT10","IRFR9220","TopLayer","D-PAK(TO-252AA)","124,4250","52,6950","180","HEXFET Power MOSFET"
"VT9","BC817-40","TopLayer","SOT-23(123)","109,6807","51,6590","180","NPN 500ma transistor"
"VT8","BC817-40","TopLayer","SOT-23(123)","131,7250","74,4057","90","NPN 500ma transistor"
"VT7","BC817-40","TopLayer","SOT-23(123)","142,6500","78,1693","270","NPN 500ma transistor"
"VT6","BC817-40","TopLayer","SOT-23(123)","111,0807","99,3660","180","NPN 500ma transistor"
"VT5","BC817-40","TopLayer","SOT-23(123)","104,0750","98,2057","90","NPN 500ma transistor"
"VT4","BC817-40","TopLayer","SOT-23(123)","119,9340","99,3943","90","NPN 500ma transistor"
"VT3","BC817-40","TopLayer","SOT-23(123)","115,2340","99,0943","90","NPN 500ma transistor"
"VT2","BC817-40","TopLayer","SOT-23(123)","99,0057","101,5840","180","NPN 500ma transistor"
"VT1","BC817-40","TopLayer","SOT-23(123)","92,1090","100,4193","90","NPN 500ma transistor"
"VD22","LED_0805","TopLayer","LED0805","80,9000","34,2500","270",""
"VD21","LED_0805","TopLayer","LED0805","77,5000","34,2500","270",""
"VD20","LL4148","TopLayer","SOD-80","85,1000","100,8000","270","LL4148"
"VD19","LL4148","TopLayer","SOD-80","85,1000","89,9000","270","LL4148"
"VD18","LED_0805","TopLayer","LED0805","74,2000","34,2500","270",""
"VD17","LL4148","TopLayer","SOD-80","85,1000","78,8000","270","LL4148"
"VD16","SK34SMA","TopLayer","SMA","114,4500","65,6750","180","Schottky Rectifier"
"VD15","BZV55C39","TopLayer","SOD-80","130,9250","48,1500","360","Zener Voltage Regulator Diode"
"VD13","BZV55C15","TopLayer","SOD-80","130,6500","52,6750","270","Zener Voltage Regulator Diode"
"VD12","SMBJ150A","TopLayer","SMB","137,6500","52,6250","270","SMBJ"
"VD11","GS1M","TopLayer","SMA","138,8500","58,1750","180","GS1M"
"VD10","PESD2CAN","TopLayer","SOT-23(123)","125,5557","45,8160","180","TVS for CAN"
"VD9","LL4148","TopLayer","SOD-80","132,9000","88,8500","360","LL4148"
"VD8","LL4148","TopLayer","SOD-80","132,9000","94,0000","360","LL4148"
"VD7","LL4148","TopLayer","SOD-80","132,9000","91,4500","360","LL4148"
"VD6","LL4148","TopLayer","SOD-80","132,9000","96,5500","360","LL4148"
"VD5","SMBJ15A","TopLayer","SMB","108,9750","103,8750","180","SMBJ"
"VD4","SMBJ15A","TopLayer","SMB","123,0000","103,8500","180","SMBJ"
"VD3","SMBJ15A","TopLayer","SMB","94,0750","105,9500","180","SMBJ"
"VD2","LED_0805","TopLayer","LED0805","87,1000","33,3500","270",""
"VD1","LED_0805","TopLayer","LED0805","85,0000","33,3500","270",""
"REP2","REPER_POINT_1.2","TopLayer","REPER1.2","142,9750","33,5750","90","REPER1.2"
"REP1","REPER_POINT_1.2","TopLayer","REPER1.2","55,2000","118,7000","90","REPER1.2"
"R56","1k","TopLayer","RC0603","80,9000","37,7003","270","RC0603"
"R55","1k","TopLayer","RC0603","77,5000","37,7003","270","RC0603"
"R54","4k7","TopLayer","RC0603","88,0253","93,8500","180","RC0603"
"R53","4k7","TopLayer","RC0603","88,0497","82,7000","180","RC0603"
"R52","1k","TopLayer","RC0603","74,2000","37,7003","270","RC0603"
"R51","4k7","TopLayer","RC0603","87,1503","71,9750","180","RC0603"
"R50","18k 1%","TopLayer","RC0603","88,9250","57,7747","90","RC0603"
"R49","11k 1%","TopLayer","RC0603","90,6500","60,0497","90","RC0603"
"R48","13k 1%","TopLayer","RC0603","120,2750","62,3747","90","RC0603"
"R47","240k","TopLayer","RC0603","120,2750","59,4003","270","RC0603"
"R46","12k","TopLayer","RC0603","121,5003","67,5500","180","RC0603"
"R45","68k1 1%","TopLayer","RC0603","121,0497","64,6750","360","RC0603"
"R44","220k","TopLayer","RC0603","134,3250","48,4247","90","RC0603"
"R43","220k","TopLayer","RC0603","133,6753","56,2000","180","RC0603"
"R42","220k","TopLayer","RC0603","130,7003","56,2000","180","RC0603"
"R41","4k7","TopLayer","RC0603","106,7000","51,8747","90","RC0603"
"R40","4k7","TopLayer","RC0603","134,6003","76,8750","180","RC0603"
"R39","3k","TopLayer","RC0603","133,9497","86,6250","360","RC0603"
"R38","3k","TopLayer","RC0603","133,9497","85,0250","360","RC0603"
"R37","3k","TopLayer","RC0603","133,9497","83,4250","360","RC0603"
"R36","3k","TopLayer","RC0603","133,9497","81,8000","360","RC0603"
"R35","4k7","TopLayer","RC0603","139,2247","77,0250","360","RC0603"
"R34","100k","TopLayer","RC0603","117,0003","103,8750","180","RC0603"
"R33","33k","TopLayer","RC0603","114,0247","103,8750","360","RC0603"
"R32","1k","TopLayer","RC0603","107,4253","99,3500","180","RC0603"
"R31","10k","TopLayer","RC0603","107,4253","97,7000","180","RC0603"
"R30","1k","TopLayer","RC0603","106,1747","96,0500","360","RC0603"
"R29","10k","TopLayer","RC0603","132,6250","121,7747","90","RC0603"
"R28","100k","TopLayer","RC0603","125,2500","97,2747","90","RC0603"
"R27","33k","TopLayer","RC0603","123,5500","100,1503","270","RC0603"
"R26","1k","TopLayer","RC0603","117,7753","96,9750","180","RC0603"
"R25","10k","TopLayer","RC0603","120,9997","96,4000","360","RC0603"
"R24","1k","TopLayer","RC0603","113,8000","96,2753","270","RC0603"
"R23","100k","TopLayer","RC0603","102,1003","105,1000","180","RC0603"
"R22","10k","TopLayer","RC0603","143,4747","104,9250","360","RC0603"
"R21","33k","TopLayer","RC0603","99,1247","105,1000","360","RC0603"
"R20","1k","TopLayer","RC0603","95,4003","101,5750","180","RC0603"
"R19","10k","TopLayer","RC0603","98,3253","99,0000","180","RC0603"
"R18","1k","TopLayer","RC0603","95,3497","99,8750","360","RC0603"
"R17","10k","TopLayer","RC0603","134,8750","121,4497","90","RC0603"
"R16","10k","TopLayer","RC0603","95,5503","82,3000","180","RC0603"
"R15","10k","TopLayer","RC0603","97,5250","79,6503","270","RC0603"
"R14","10k","TopLayer","RC0603","95,7497","73,5000","180","RC0603"
"R13","10k","TopLayer","RC0603","124,9247","78,8000","360","RC0603"
"R12","10k","TopLayer","RC0603","92,7997","73,5000","180","RC0603"
"R11","100k","TopLayer","RC0603","127,8997","78,8000","360","RC0603"
"R10","100E","TopLayer","RC0603","100,0253","95,5500","180","RC0603"
"R9","1k","TopLayer","RC0603","85,6000","37,0997","90","RC0603"
"R8","1k","TopLayer","RC0603","84,0000","37,0997","90","RC0603"
"R7","36k","TopLayer","RC0603","83,7747","54,3000","360","RC0603"
"R6","2k","TopLayer","RC0603","86,1250","53,1497","90","RC0603"
"R5","100k","TopLayer","RC0603","90,0747","51,0750","360","RC0603"
"R4","10k","TopLayer","RC0603","83,7747","52,6500","360","RC0603"
"R3","100k","TopLayer","RC0603","89,0747","53,0500","360","RC0603"
"R2","100k","TopLayer","RC0603","90,0747","49,4500","360","RC0603"
"R1","51k","TopLayer","RC0603","83,5247","57,6250","360","RC0603"
"QR1","NX5032GA-12.000MHz LN-CD-1","TopLayer","AC5032_2","109,8000","82,5000","270","AC5032/2"
"L1","15uH","TopLayer","SDR0805","108,8250","60,3000","180","SDR0805"
"K3","RY21","TopLayer","RY21_RY21(Primary)","67,5500","100,9500","180","RY21"
"K1","RY21","TopLayer","RY21_RY21(Primary)","67,5500","78,9500","180","RY21"
"J4","PLS-02","TopLayer","PLS-02","143,4750","108,6550","270","PLS-02"
"J2","PLS-02","TopLayer","PLS-02","93,4700","84,7000","180","PLS-02"
"J1","PLS-02","TopLayer","PLS-02","93,8800","78,8750","180","PLS-02"
"FU8","RXE-110","TopLayer","RXE-110","144,3500","55,6350","90","RXE-110"
"FU7","MICROSMD010F-2","TopLayer","RC1210","113,2750","50,0750","270","MICROSMD"
"FU6","MF-SMDF050","TopLayer","MF-SMDF","130,5750","103,1000","180","MF-SMDF"
"FU5","MICROSMD010F-2","TopLayer","RC1210","131,7750","69,7500","270","MICROSMD"
"FU4","MICROSMD010F-2","TopLayer","RC1210","126,3500","70,8000","360","MICROSMD"
"FU3","MICROSMD010F-2","TopLayer","RC1210","126,3500","74,0000","360","MICROSMD"
"FU2","MICROSMD010F-2","TopLayer","RC1210","103,4250","48,6500","180","MICROSMD"
"FU1","MICROSMD010F-2","TopLayer","RC1210","96,0000","49,3250","90","MICROSMD"
"F1","KLS5-266(5x20) 2pcs","TopLayer","Fuse_5x20","54,5750","59,7250","90",""
"DD2","M25PE16-VMW","TopLayer","EIAJ_SO8","104,0035","90,3400","360","S25FL016A0LMFI01"
"DA3","AP2210K-ADJTRG1","TopLayer","SOT23-5","87,1750","60,9500","0","300 mA, Low Voltage, Low Quiescent Current LDO Regulator, 5-Pin SOT-223, Extended Temperature, Tape and Reel"
"DA2","TPS54260DGQ","TopLayer","S-PDSO-G10","117,7500","60,8250","90",""
"DA1","BQ24070","TopLayer","P-PQFP-N20","84,6750","48,4500","90","BQ24070"
"C26","0.1uF","TopLayer","CC0603","83,2500","62,7750","90","CC0603"
"C25","10uF 6.3V","TopLayer","CC0805","80,5500","60,3750","360","CC0805"
"C24","10uFx6.3V","TopLayer","CC0805","91,8500","64,2000","180","CC0805"
"C23","0.1uF","TopLayer","CC0603","89,1750","64,7500","90","CC0603"
"C22","560pF","TopLayer","CC0603","124,8500","67,5500","360","CC0603"
"C21","330pF","TopLayer","CC0603","119,1500","67,2750","90","CC0603"
"C20","10 nF","TopLayer","CC0603","120,8500","57,0250","360","CC0603"
"C19","0.1 uF","TopLayer","CC0603","116,4000","56,8500","180","CC0603"
"C18","1000uFx6.3V","TopLayer","CC8X3.5","101,9000","54,6000","270","CAP0.35"
"C17","0.1 uF","TopLayer","CC0603","109,2500","54,6500","360","CC0603"
"C16","0.1 uF","TopLayer","CC0603","114,9500","59,6250","270","CC0603"
"C15","0.1uFx250V","TopLayer","CC1206","141,0750","52,8500","90","CC1206"
"C14","22pF","TopLayer","CC0603","107,1750","84,3000","90","CC0603"
"C13","22pF","TopLayer","CC0603","107,1500","80,6750","270","CC0603"
"C12","220pF","TopLayer","CC0603","94,3000","76,3500","360","CC0603"
"C11","0.1uF","TopLayer","CC0603","109,9750","90,4250","90","CC0603"
"C9","0.1uF","TopLayer","CC0603","116,9000","74,4750","90","CC0603"
"C8","0.1uF","TopLayer","CC0603","120,9000","75,6500","180","CC0603"
"C7","0.1uF","TopLayer","CC0603","110,5750","78,4750","0","CC0603"
"C6","0.1uF","TopLayer","CC0603","118,0250","90,4500","90","CC0603"
"C5","10nF","TopLayer","CC0603","83,4750","55,9500","360","CC0603"
"C4","10uFx6.3V","TopLayer","CC0805","76,5500","45,3500","180","CC0805"
"C3","1uF","TopLayer","CC0603","88,1500","46,0250","270","CC0603"
"C2","1uF","TopLayer","CC0603","81,0750","45,9000","270","CC0603"
"C1","0.1uF","TopLayer","CC0603","85,0750","43,4750","180","CC0603"
"XP16","DG330-2PIN","TopLayer","DG330-2PIN","120,3250","37,2000","0",""
