Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

VD31       SOD-80               33.525mm       57.55mm      33.525mm       57.55mm      33.525mm      55.899mm  B        270.00 LL4148         
VD23       3528LED              85.225mm      84.075mm      85.225mm       84.25mm      85.225mm       85.25mm  T        270.00 LED_3528       
VD22       3528LED                  69mm      82.675mm      68.825mm      82.675mm      67.825mm      82.675mm  T        360.00 LED_3528       
VD21       3528LED               48.35mm      85.375mm       48.35mm       85.55mm       48.35mm       86.55mm  T        270.00 LED_3528       
VD20       3528LED               63.15mm        71.9mm      62.975mm        71.9mm      61.975mm        71.9mm  T        360.00 LED_3528       
VD19       3528LED              40.425mm        73.3mm       40.25mm        73.3mm       39.25mm        73.3mm  T        360.00 LED_3528       
VD18       3528LED               164.3mm      89.675mm       164.3mm       89.85mm       164.3mm       90.85mm  T        270.00 LED_3528       
VD17       3528LED              147.75mm       87.25mm      147.75mm      87.425mm      147.75mm      88.425mm  T        270.00 LED_3528       
VD16       3528LED              132.45mm       86.95mm      132.45mm      87.125mm      132.45mm      88.125mm  T        270.00 LED_3528       
VD15       3528LED              116.85mm      89.075mm     116.675mm      89.075mm     115.675mm      89.075mm  T        360.00 LED_3528       
C1         CC0603               119.35mm      72.775mm      119.35mm      72.775mm       118.5mm      72.775mm  T          0.00 0.1uF          
C2         CC0603                76.25mm      76.575mm       76.25mm      76.575mm        77.1mm      76.575mm  T        180.00 0.1uF          
C3         CC0603               119.35mm      75.775mm      119.35mm      75.775mm       118.5mm      75.775mm  T          0.00 0.1uF          
C4         CC0603                75.45mm      72.925mm       75.45mm      72.925mm       75.45mm      72.075mm  T         90.00 0.1uF          
DD1        SOT190-1            122.525mm        79.2mm     114.775mm      69.075mm     114.775mm      69.075mm  B        360.00 PCF8576        
DD2        SOT190-1             88.475mm        79.2mm      80.725mm      69.075mm      80.725mm      69.075mm  B        360.00 PCF8576        
FU1        RC1210                53.55mm       56.65mm       53.55mm       56.65mm       53.55mm       55.05mm  B         90.00 MICROSMD010F-2 
FU2        RC1210                37.95mm      54.275mm       37.95mm      54.275mm       37.95mm      52.675mm  B         90.00 MICROSMD010F-2 
FU3        RC1210                 48.3mm       56.65mm        48.3mm       56.65mm        48.3mm       55.05mm  B         90.00 MICROSMD010F-2 
R1         RC0805               50.125mm       98.25mm      50.125mm       98.25mm      50.125mm        97.3mm  T         90.00 82E            
R2         RC0805               65.075mm       98.25mm      65.075mm       98.25mm      65.075mm        97.3mm  T         90.00 82E            
R3         RC0805                 80.1mm       98.25mm        80.1mm       98.25mm        80.1mm        97.3mm  T         90.00 82E            
R4         RC0805                95.05mm       98.25mm       95.05mm       98.25mm       95.05mm        97.3mm  T         90.00 82E            
R5         RC0805                110.1mm       98.25mm       110.1mm       98.25mm       110.1mm        97.3mm  T         90.00 82E            
R6         RC0805                125.1mm       98.25mm       125.1mm       98.25mm       125.1mm        97.3mm  T         90.00 82E            
R7         RC0805               140.05mm       98.25mm      140.05mm       98.25mm      140.05mm        97.3mm  T         90.00 82E            
R8         RC0805              155.075mm       98.25mm     155.075mm       98.25mm     155.075mm        97.3mm  T         90.00 82E            
R9         RC0805               41.875mm      63.175mm      41.875mm      63.175mm      41.875mm      64.125mm  T        270.00 82E            
R11        RC0805               71.875mm      63.175mm      71.875mm      63.175mm      71.875mm      64.125mm  T        270.00 82E            
R12        RC0805                 86.9mm      63.175mm        86.9mm      63.175mm        86.9mm      64.125mm  T        270.00 82E            
R14        RC0805               116.95mm      63.175mm      116.95mm      63.175mm      116.95mm      64.125mm  T        270.00 82E            
R15        RC0805              131.975mm      63.175mm     131.975mm      63.175mm     131.975mm      64.125mm  T        270.00 82E            
R16        RC0805                  147mm      63.175mm         147mm      63.175mm         147mm      64.125mm  T        270.00 82E            
R17        RC0805              162.025mm      63.175mm     162.025mm      63.175mm     162.025mm      64.125mm  T        270.00 82E            
R47        RC0603               53.625mm     63.6497mm      53.625mm       63.65mm      53.625mm      62.875mm  T         90.00 2k2            
R48        RC0603               49.425mm     62.7997mm      49.425mm        62.8mm      49.425mm      62.025mm  T         90.00 2k2            
R49        RC0603              111.775mm     73.6003mm     111.775mm        73.6mm     111.775mm      74.375mm  B        270.00 0E             
R50        RC0603               77.425mm     74.3253mm      77.425mm      74.325mm      77.425mm        75.1mm  B        270.00 0E             
VD1        3528LED              40.375mm      93.625mm      40.375mm        93.8mm      40.375mm        94.8mm  T        270.00 LED_3528       
VD2        3528LED                61.5mm        93.7mm        61.5mm      93.875mm        61.5mm      94.875mm  T        270.00 LED_3528       
VD3        3528LED              80.125mm      93.575mm      80.125mm       93.75mm      80.125mm       94.75mm  T        270.00 LED_3528       
VD4        3528LED              97.025mm      92.925mm      97.025mm        93.1mm      97.025mm        94.1mm  T        270.00 LED_3528       
VD5        3528LED               110.6mm       91.75mm     110.425mm       91.75mm     109.425mm       91.75mm  T          0.00 LED_3528       
VD6        3528LED               128.5mm          93mm       128.5mm      93.175mm       128.5mm      94.175mm  T        270.00 LED_3528       
VD7        3528LED               143.4mm      93.375mm     143.225mm      93.375mm     142.225mm      93.375mm  T          0.00 LED_3528       
VD8        3528LED             158.075mm        93.2mm       157.9mm        93.2mm       156.9mm        93.2mm  T          0.00 LED_3528       
VD9        3528LED                39.3mm      67.925mm        39.3mm       67.75mm        39.3mm       66.75mm  T         90.00 LED_3528       
VD10       3528LED                58.6mm      68.775mm        58.6mm        68.6mm        58.6mm        67.6mm  T         90.00 LED_3528       
VD11       3528LED              44.375mm      89.375mm      44.375mm       89.55mm      44.375mm       90.55mm  T        270.00 LED_3528       
VD12       3528LED              65.575mm        88.1mm      65.575mm      88.275mm      65.575mm      89.275mm  T        270.00 LED_3528       
VD13       3528LED               84.35mm      89.875mm       84.35mm       90.05mm       84.35mm       91.05mm  T        270.00 LED_3528       
VD14       3528LED             100.825mm      89.225mm     100.825mm        89.4mm     100.825mm        90.4mm  T        270.00 LED_3528       
XP1        MIF2X03PRP             45.3mm       49.05mm        48.3mm        49.7mm        48.3mm        49.7mm  B        270.00 MIF2X03PRP     
XP2        BH-10                145.58mm       45.23mm       140.5mm        46.5mm       140.5mm        46.5mm  B          0.00 n.p            
XP3        BH-10                122.68mm       45.23mm       117.6mm        46.5mm       117.6mm        46.5mm  B          0.00 n.p            
XP4        MIF2X02PRP            166.2mm       49.04mm       167.7mm        49.7mm       167.7mm        49.7mm  B        270.00 n.p            
C5         CR2032_ONBOARD         52.1mm          82mm       52.45mm      83.425mm        52.1mm          92mm  B        360.00 EEC-S5R5H105   
VD24       3528LED             104.625mm       84.65mm     104.625mm      84.825mm     104.625mm      85.825mm  T        270.00 LED_3528       
VD25       3528LED              114.45mm       82.95mm     114.625mm       82.95mm     115.625mm       82.95mm  T        180.00 LED_3528       
VD26       3528LED              136.05mm       82.25mm     135.875mm       82.25mm     134.875mm       82.25mm  T        360.00 LED_3528       
VD27       3528LED               148.9mm       82.25mm     148.725mm       82.25mm     147.725mm       82.25mm  T        360.00 LED_3528       
