"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R36","RC0805","146.275mm","56.275mm","146.275mm","56.275mm","145.325mm","56.275mm","T","360.00","n.p"
"C1","CC0603","100.55mm","83.125mm","100.55mm","83.125mm","101.4mm","83.125mm","T","180.00","0.1uF"
"C2","CC0603","106.775mm","78.25mm","106.775mm","78.25mm","106.775mm","79.1mm","T","270.00","1uF"
"C3","CC0603","102.95mm","88.775mm","102.95mm","88.775mm","102.1mm","88.775mm","T","0.00","1uF"
"C5","CC0603","112.725mm","88.625mm","112.725mm","88.625mm","111.875mm","88.625mm","T","360.00","10nF"
"C6","CC0603","126.725mm","49.275mm","126.725mm","49.275mm","126.725mm","50.125mm","T","270.00","0.1uF"
"C7","CC0603","114.9mm","56.3mm","114.9mm","56.3mm","114.9mm","55.45mm","T","90.00","0.1uF"
"C8","CC0603","123.85mm","100.675mm","123.85mm","100.675mm","123.85mm","101.525mm","T","270.00","0.1uF"
"C9","CC0603","125.85mm","67.55mm","125.85mm","67.55mm","125.85mm","66.7mm","T","90.00","22pF"
"C10","CC0603","125.85mm","63.95mm","125.85mm","63.95mm","125.85mm","64.8mm","T","270.00","22pF"
"C11","CC0603","159.225mm","72.525mm","159.225mm","72.525mm","160.075mm","72.525mm","T","180.00",""
"C12","CC0603","156.375mm","64.45mm","156.375mm","64.45mm","157.225mm","64.45mm","T","180.00","220pF"
"C13","CC0603","131.8mm","61.625mm","131.8mm","61.625mm","130.95mm","61.625mm","T","360.00","0.1uF"
"C14","CC0603","140.55mm","61.225mm","140.55mm","61.225mm","140.55mm","60.375mm","T","90.00","0.1uF"
"C15","CC0603","149.15mm","65.875mm","149.15mm","65.875mm","149.15mm","65.025mm","T","90.00","0.1uF"
"C16","CC0603","149.475mm","76.65mm","149.475mm","76.65mm","149.475mm","77.5mm","T","270.00","0.1uF"
"C17","CC0805","136.9mm","82.4mm","136.9mm","82.4mm","137.8mm","82.4mm","T","180.00","10uFx6.3V"
"C18","CC0603","140.55mm","82.6mm","140.55mm","82.6mm","140.55mm","83.45mm","T","270.00","0.1uF"
"C19","CC0603","125.675mm","75.825mm","125.675mm","75.825mm","124.825mm","75.825mm","T","360.00","0.1uF"
"C20","CC0603","127.225mm","72.325mm","127.225mm","72.325mm","126.375mm","72.325mm","T","360.00","0.1uF"
"C21","CC0603","123.725mm","84.875mm","123.725mm","84.875mm","122.875mm","84.875mm","T","360.00","0.1uF"
"C22","CC0603","130.45mm","88.575mm","130.45mm","88.575mm","129.6mm","88.575mm","T","360.00","0.1uF"
"C23","CC0603","106.25mm","60.65mm","106.25mm","60.65mm","106.25mm","61.5mm","T","270.00","0.1 uF"
"C24","CC0603","106.325mm","73.9mm","106.325mm","73.9mm","105.475mm","73.9mm","T","360.00","0.1 uF"
"C25","CC8X3.5","101.425mm","77.425mm","103.175mm","77.425mm","103.175mm","77.425mm","T","180.00","1000uFx6.3V"
