"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U1","TI-DBV5_N","120.7mm","69.35mm","120.7mm","69.35mm","119.75mm","68.2mm","T","90.00","TL431AIDBVR"
"R37","RC0603","122.4253mm","66.075mm","122.425mm","66.075mm","123.2mm","66.075mm","T","180.00","200E"
"J2","PLS-02","157.405mm","70.05mm","158.675mm","70.05mm","158.675mm","70.05mm","T","180.00","PLS-02"
"C4","CC0805","119.375mm","100.6mm","119.375mm","100.6mm","119.375mm","99.7mm","T","90.00","10uFx6.3V"
"XP11","DG330-2PIN","112.075mm","39.325mm","112.175mm","39.3mm","109.575mm","39.325mm","T","0.00","DG330-2PIN"
"XP10","DG330-2PIN","112.7mm","115.1mm","112.6mm","115.125mm","115.2mm","115.1mm","T","180.00","DG330-2PIN"
"XP5","DG330-2PIN","102.7mm","115.1mm","102.6mm","115.125mm","105.2mm","115.1mm","T","180.00","DG330-2PIN"
"XP9","DG330-3PIN","149.7mm","39.325mm","149.7mm","39.325mm","144.7mm","39.325mm","T","360.00","DG330-3PIN"
"XP8","DG330-3PIN","134.1mm","39.325mm","134.1mm","39.325mm","129.1mm","39.325mm","T","360.00","DG330-3PIN"
"XP2","DG330-2PIN","102.075mm","39.325mm","102.175mm","39.3mm","99.575mm","39.325mm","T","360.00","DG330-2PIN"
"VT2","D-PAK(TO-252AA)","157.725mm","53.625mm","157.725mm","52.375mm","160.005mm","56.875mm","T","270.00","FQD5P20TM"
"XP7","BH-10","137.27mm","120.005mm","142.35mm","121.275mm","142.35mm","121.275mm","T","180.00","BH-10"
"XP6","PIN6","157.395mm","84.21mm","156.125mm","86.75mm","156.125mm","86.75mm","T","270.00","PLD-06"
"XP4","DG330-3PIN","105.05mm","98.15mm","105.05mm","98.15mm","105.05mm","103.15mm","T","270.00","n.p"
"XP3","BH-10","156.645mm","114.82mm","155.375mm","119.9mm","155.375mm","119.9mm","T","270.00","n.p"
"XP1","MW03D","114.75mm","101.5mm","114.75mm","99mm","114.75mm","99mm","T","90.00","MW03D"
"VT5","SOT-23(123)","151.366mm","93.5184mm","150.35mm","92.35mm","150.35mm","92.3627mm","T","270.00","BC817-40"
"VT4","D-PAK(TO-252AA)","157.2mm","96.375mm","157.2mm","97.625mm","154.92mm","93.125mm","T","90.00","FQD5P20TM"
"VT3","SOT-23(123)","159.584mm","61.7066mm","160.6mm","62.875mm","160.6mm","62.8623mm","T","90.00","BC817-40"
"VT1","SOT-23(123)","148.766mm","60.6434mm","147.75mm","59.475mm","147.75mm","59.4877mm","T","270.00","n.p"
"VD25","SOT-23(GSD)","145.816mm","110.4684mm","144.8mm","109.3mm","144.8mm","109.3127mm","T","0.00","BAV99"
"VD24","SMB","149.6mm","108.1mm","149.6mm","108.1mm","149.6mm","105.8mm","T","270.00","SMBJ5.0A"
"VD23","SMB","141.8mm","108.05mm","141.8mm","108.05mm","141.8mm","110.35mm","T","90.00","SMBJ5.0A"
"VD22","SOT-23(GSD)","145.816mm","106.3184mm","144.8mm","105.15mm","144.8mm","105.1627mm","T","0.00","BAV99"
"VD21","SMA","102.075mm","61.5mm","102.075mm","61.5mm","100.025mm","61.5mm","T","360.00","SK34SMA"
"VD20","SMA","101.725mm","47.575mm","101.725mm","47.575mm","99.675mm","47.575mm","T","360.00","GS1M"
"VD19","LED3","122.205mm","122.725mm","123.475mm","122.725mm","123.475mm","122.725mm","T","180.00","LED_3"
"VD18","LED3","121.73mm","32.225mm","123mm","32.225mm","123mm","32.225mm","T","180.00","LED_3"
"VD17","SOD-523","140.575mm","113.8mm","140.575mm","113.8mm","140.575mm","113mm","T","90.00","ESD5Z3.3T1G/T5G"
"VD16","SOD-523","149.225mm","123.75mm","149.225mm","123.75mm","150.025mm","123.75mm","T","180.00","ESD5Z3.3T1G/T5G"
"VD15","SOD-523","143.025mm","113.8mm","143.025mm","113.8mm","143.025mm","113mm","T","90.00","ESD5Z3.3T1G/T5G"
"VD14","SOD-523","149.225mm","122.325mm","149.225mm","122.325mm","150.025mm","122.325mm","T","180.00","ESD5Z3.3T1G/T5G"
"VD13","SOD-523","145.5mm","113.8mm","145.5mm","113.8mm","145.5mm","113mm","T","90.00","ESD5Z3.3T1G/T5G"
"VD12","SOD-523","148.075mm","113.8mm","148.075mm","113.8mm","148.075mm","113mm","T","90.00","ESD5Z3.3T1G/T5G"
"VD11","SOD-80","142.7mm","99.3mm","142.7mm","99.3mm","142.7mm","100.951mm","T","90.00","LL4148"
"VD10","SOD-80","147.675mm","99.3mm","147.675mm","99.3mm","147.675mm","100.951mm","T","90.00","LL4148"
"VD9","SOD-523","149.225mm","119.525mm","149.225mm","119.525mm","150.025mm","119.525mm","T","180.00","ESD5Z3.3T1G/T5G"
"VD8","SOD-523","149.225mm","120.9mm","149.225mm","120.9mm","150.025mm","120.9mm","T","180.00","ESD5Z3.3T1G/T5G"
"VD7","SOD-80","145.175mm","99.3mm","145.175mm","99.3mm","145.175mm","100.951mm","T","90.00","LL4148"
"VD6","SOD-80","150.175mm","99.3mm","150.175mm","99.3mm","150.175mm","100.951mm","T","90.00","LL4148"
"VD5","SOT-23(GSD)","119.241mm","55.9934mm","118.225mm","54.825mm","118.225mm","54.8377mm","T","0.00","BAT54S"
"VD4","SOD-523","132.725mm","52.875mm","132.725mm","52.875mm","132.725mm","53.675mm","T","270.00","ESD5Z3.3T1G/T5G"
"VD3","SOD-523","131.4mm","52.875mm","131.4mm","52.875mm","131.4mm","53.675mm","T","270.00","ESD5Z3.3T1G/T5G"
"VD1","SOT-23(123)","112.166mm","53.0184mm","111.15mm","51.85mm","111.15mm","51.8627mm","T","270.00","PESD2CAN"
"REPER2","REPER1.2","159.475mm","33.475mm","159.475mm","33.475mm","159.475mm","33.475mm","T","90.00","REPER1.2"
"REPER1","REPER1.2","100.275mm","118.875mm","100.275mm","118.875mm","100.275mm","118.875mm","T","90.00","REPER1.2"
"R35","RC0603","126.7mm","103.5247mm","126.7mm","103.525mm","126.7mm","102.75mm","T","90.00","18k 1%"
"R34","RC0603","126.7mm","106.4997mm","126.7mm","106.5mm","126.7mm","105.725mm","T","90.00","11k 1%"
"R33","RC0603","109.2mm","67.6747mm","109.2mm","67.675mm","109.2mm","66.9mm","T","90.00","13k 1%"
"R32","RC0603","111.2003mm","57.65mm","111.2mm","57.65mm","111.975mm","57.65mm","T","180.00","240k"
"R31","RC0603","112.525mm","67.9753mm","112.525mm","67.975mm","112.525mm","68.75mm","T","270.00","12k"
"R30","RC0603","109.2mm","70.6747mm","109.2mm","70.675mm","109.2mm","69.9mm","T","90.00","68k1 1%"
"R29","RC0603","122.2253mm","119.775mm","122.225mm","119.775mm","123mm","119.775mm","T","180.00","1k"
"R28","RC0603","119.6747mm","34.775mm","119.675mm","34.775mm","118.9mm","34.775mm","T","360.00","1k"
"R27","RC0603","153.0997mm","64.45mm","153.1mm","64.45mm","152.325mm","64.45mm","T","360.00","10k"
"R26","RC0603","155.7747mm","72.525mm","155.775mm","72.525mm","155mm","72.525mm","T","360.00","10k"
"R25","RC0603","140.7mm","99.0753mm","140.7mm","99.075mm","140.7mm","99.85mm","T","270.00","10k"
"R24","RC0603","139.075mm","99.0753mm","139.075mm","99.075mm","139.075mm","99.85mm","T","270.00","10k"
"R23","RC0603","137.475mm","99.0753mm","137.475mm","99.075mm","137.475mm","99.85mm","T","270.00","10k"
"R22","RC0603","135.8mm","99.0753mm","135.8mm","99.075mm","135.8mm","99.85mm","T","270.00","10k"
"R21","RC0603","150.35mm","89.8747mm","150.35mm","89.875mm","150.35mm","89.1mm","T","90.00","10k"
"R20","RC0603","157.1997mm","90.925mm","157.2mm","90.925mm","156.425mm","90.925mm","T","360.00","10k"
"R19","RC0603","120.1747mm","97.95mm","120.175mm","97.95mm","119.4mm","97.95mm","T","360.00","20k1"
"R18","RC0603","128.8503mm","52.075mm","128.85mm","52.075mm","129.625mm","52.075mm","T","180.00","2k2"
"R17","RC0603","135.2997mm","52.075mm","135.3mm","52.075mm","134.525mm","52.075mm","T","360.00","2k2"
"R16","RC0603","122.15mm","101.0247mm","122.15mm","101.025mm","122.15mm","100.25mm","T","90.00","12k1"
"R15","RC0603","156.0747mm","61.25mm","156.075mm","61.25mm","155.3mm","61.25mm","T","360.00","10k"
"R14","RC0603","157.7003mm","58.95mm","157.7mm","58.95mm","158.475mm","58.95mm","T","180.00","10k"
"R13","RC0603","116.5mm","56.3747mm","116.5mm","56.375mm","116.5mm","55.6mm","T","90.00","10k"
"R12","RC0603","118.4497mm","59mm","118.45mm","59mm","117.675mm","59mm","T","360.00","120k"
"R11","RC0603","146.025mm","60.2753mm","146.025mm","60.275mm","146.025mm","61.05mm","T","270.00","n.p"
"R10","RC0603","158.4247mm","78.025mm","158.425mm","78.025mm","157.65mm","78.025mm","T","360.00","100E"
"R8","RC0603","121.5747mm","45.675mm","121.575mm","45.675mm","120.8mm","45.675mm","T","0.00","0E"
