Altium Designer Pick and Place Locations
D:\projects\GPS_GPRS\DISM\S6\S6_Main\S6_Main_hv3\Project Outputs for S6_Main_hv3\Pick Place\Pick Place for S6_Main_hv3.csv

========================================================================================================================
File Design Information:

Date:       26.04.18
Time:       12:55
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"DD2","M95256-WMN6","BottomLayer","SO-8","105.9690","84.6448","90","SPI EEPROM"
"C56","0.1uF","BottomLayer","CC0603","111.3000","83.6000","90","CC0603"
"DA1","KX022-1020","TopLayer","LGA-12","106.1000","73.3250","90",""
"VT1","FQD5P20TM","TopLayer","D-PAK(TO-252AA)","91.0500","111.5200","360","HEXFET Power MOSFET"
"FU2","MICROSMD010F-2","BottomLayer","RC1210","91.7250","82.0250","360","MICROSMD"
"FU1","MICROSMD010F-2","BottomLayer","RC1210","91.7250","85.5750","360","MICROSMD"
"XP3","PBD-16","TopLayer","PBD16","96.2540","98.1670","180","PBD-16"
"XP2","PBD-16","TopLayer","PBD16","96.2540","56.1670","180","PBD-16"
"XP1","MW03D","TopLayer","MW03D","141.6440","103.5970","180","MW03D"
"X8","PIN_1.2mm","TopLayer","PIN_1.2mm","96.5750","76.5500","0",""
"X7","PIN_1.2mm","TopLayer","PIN_1.2mm","96.5750","79.5500","0",""
"X6","PIN_1.2mm","TopLayer","PIN_1.2mm","96.5750","70.5500","0",""
"X5","PIN_1.2mm","TopLayer","PIN_1.2mm","96.5750","73.5500","0",""
"X4","PIN_1.2mm","TopLayer","PIN_1.2mm","96.5750","82.5500","0",""
"X3","PIN_1.2mm","TopLayer","PIN_1.2mm","96.5750","85.5500","0",""
"X2","PIN_1.2mm","TopLayer","PIN_1.2mm","96.5750","91.5500","0",""
"X1","PIN_1.2mm","TopLayer","PIN_1.2mm","96.5750","88.5500","0",""
"VT2","BC807-40","BottomLayer","SOT-23(123)","88.5557","113.8000","360","BC857B"
"VD8","SMBJ5.0A","TopLayer","SMB","113.8000","113.2498","180","SMBJ"
"VD7","SK34SMA","TopLayer","SMA","114.3000","106.5000","180","Schottky Rectifier"
"VD6","BZX84C39","BottomLayer","SOT-23(123)","90.1307","110.1000","360","Zener Voltage Regulator Diode"
"VD5","BZX84C15","BottomLayer","SOT-23(123)","93.2684","112.8660","360","Zener Voltage Regulator Diode"
"VD4","1.5KE150A","TopLayer","DO-201","95.4000","105.3000","180","1.5KE"
"VD3","GS1M","BottomLayer","SMA","87.4000","104.8000","270","GS1M"
"VD2","BAT54S","BottomLayer","SOT-23(GSD)","117.1055","90.2660","360","1.0 Ampere General Purpose Rectifier"
"VD1","PESD2CAN","BottomLayer","SOT-23(123)","85.6000","85.0057","270","TVS for CAN"
"REPER4","REPER1.2","BottomLayer","REPER1.2","84.1000","61.9499","90","REPER1.2"
"REPER3","REPER1.2","BottomLayer","REPER1.2","135.5000","109.5000","90","REPER1.2"
"REPER2","REPER1.2","TopLayer","REPER1.2","143.1000","63.2500","90","REPER1.2"
"REPER1","REPER1.2","TopLayer","REPER1.2","84.3000","107.6250","90","REPER1.2"
"R24","33k","TopLayer","RC0603","124.9750","101.7995","270","RC0603"
"R23","2k","TopLayer","RC0603","129.8000","101.7747","270","RC0603"
"R22","10k","TopLayer","RC0603","126.3750","101.7995","270","RC0603"
"R21","100k","TopLayer","RC0603","132.7000","101.7747","270","RC0603"
"R20","100k","TopLayer","RC0603","131.2497","101.7747","270","RC0603"
"R19","100k","TopLayer","RC0603","134.1000","101.7747","270","RC0603"
"R18","51k","TopLayer","RC0603","122.1750","101.7995","270","RC0603"
"R17","11k 1%","TopLayer","RC0603","116.1000","99.8247","90","RC0603"
"R16","240k","TopLayer","RC0603","110.3500","100.0997","90","RC0603"
"R15","12k","TopLayer","RC0603","119.8003","100.4000","180","RC0603"
"R14","48.7k 1%","TopLayer","RC0603","117.5000","99.8253","270","RC0603"
"R13","220k","BottomLayer","RC1206","97.4000","112.7000","270","RC1206"
"R12","16k 1%","TopLayer","RC0603","133.2994","86.6998","360","RC0603"
"R11","220k","BottomLayer","RC1206","95.2000","109.4000","360","RC1206"
"R10","220k","BottomLayer","RC1206","85.7000","110.1000","180","RC1206"
"R9","11k 1%","TopLayer","RC0603","134.8497","88.2000","360","RC0603"
"R8","1k","TopLayer","RC0603","93.7497","67.7250","0","RC0603"
