Altium Designer Pick and Place Locations
F:\Projects_Files\Projects\Altium_Projects\VideoMonitoring\VM03_hv4\Project Outputs for VM03_hv4\Pick Place\Pick Place for VM03_hv4.csv

========================================================================================================================
File Design Information:

Date:       08.01.20
Time:       11:12
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C95","33pF","TopLayer","CC0603","76,7000","13,4750","180","CC0603"
"VT21","BC817-40","TopLayer","SOT-23(123)","113,2066","18,9910","360","NPN 500ma transistor"
"R82","100k","TopLayer","RC0603","116,2500","18,7753","270","RC0603"
"R80","10k","TopLayer","RC0603","115,4753","16,4250","180","RC0603"
"R77","10k","TopLayer","RC0603","99,2247","17,7000","360","RC0603"
"DD5","SN74HC4066D","TopLayer","SO14","105,7250","16,7440","0","SN74HC4066D"
"C83","0.1uF","TopLayer","CC0603","99,1500","19,5500","180","CC0603"
"TP9","TESTPOINT1","BottomLayer","TESTPOINT1","47,4750","51,9500","90","TESTPOINT1"
"TP8","TESTPOINT1","BottomLayer","TESTPOINT1","8,1750","14,3000","90","TESTPOINT1"
"TP7","TESTPOINT1","BottomLayer","TESTPOINT1","9,2250","5,0750","90","TESTPOINT1"
"TP6","TESTPOINT1","BottomLayer","TESTPOINT1","47,7750","35,0750","90","TESTPOINT1"
"TP5","TESTPOINT1","BottomLayer","TESTPOINT1","47,4750","38,3750","90","TESTPOINT1"
"TP4","TESTPOINT1","BottomLayer","TESTPOINT1","50,0250","33,0250","90","TESTPOINT1"
"TP3","TESTPOINT1","BottomLayer","TESTPOINT1","47,4750","45,2750","90","TESTPOINT1"
"TP2","TESTPOINT1","BottomLayer","TESTPOINT1","47,4750","41,8000","90","TESTPOINT1"
"TP1","TESTPOINT1","BottomLayer","TESTPOINT1","47,4750","48,5500","180","TESTPOINT1"
"R74","10k","BottomLayer","RC0603","74,2000","30,2753","270","RC0603"
"BAT1","CR2032-VBY4","TopLayer","CR2032_ONBOARD","63,7500","43,6500","90",""
"R73","330E","BottomLayer","RC0603","47,2750","17,8247","90","RC0603"
"R70","27k","BottomLayer","RC0603","52,6753","18,7500","180","RC0603"
"C94","1000uFx6.3V","TopLayer","CC8X3.5","46,6750","65,8000","90","Radial capacitor"
"C4","0.1uF","BottomLayer","CC0603","61,9000","33,3500","270","CC0603"
"FU6","MICROSMD010F","BottomLayer","RC1210","92,5250","10,2500","360","MICROSMD"
"XP11","MIF2X02PRP","TopLayer","MIF2X02PRP","36,8750","83,6650","90","MIF2X02PRP"
"XP7","MIF2X03PRP","TopLayer","MIF2X03PRP","34,3750","6,5750","270","MIF2X03PRP"
"XP4","SCSW06D36020B-H","TopLayer","SCSW06D36020B-H","64,2250","14,0250","90","SCSW06D36020B-H"
"VD25","BAT54S","BottomLayer","SOT-23(GSD)","49,4693","21,7410","360","1.0 Ampere General Purpose Rectifier"
"VD19","SMBJ5.0A","TopLayer","SMB","43,3250","18,4250","90","SMBJ"
"VD17","BAT54S","TopLayer","SOT-23(GSD)","44,0066","5,0160","360","1.0 Ampere General Purpose Rectifier"
"R86","4k7","BottomLayer","RC0603","53,2247","20,2750","360","RC0603"
"R79","51E","TopLayer","RC0603","46,2000","16,8997","90","RC0603"
"R76","27k","TopLayer","RC0603","43,7003","9,1750","180","RC0603"
"R69","220k","TopLayer","RC1206","44,0500","2,0750","360","RC1206"
"FU5","MICROSMD010F","BottomLayer","RC1210","31,9500","15,2250","90","MICROSMD"
"C85","33pF","BottomLayer","CC0603","53,3500","21,7750","180","CC0603"
"C84","10uFx6.3V","BottomLayer","CC0805","28,0250","17,4000","360","CC0805"
"C82","0.1uF","TopLayer","CC0603","43,7750","7,5500","180","CC0603"
"R48","10k","BottomLayer","RC0603","-6,3253","56,2250","360","RC0603"
"J1","PLS-02R","BottomLayer","PLS-02R","43,2450","13,2250","180","PLS-02R"
"R68","220k","BottomLayer","RC1206","48,7500","14,7750","360","RC1206"
"VD16","LED_3","TopLayer","LED3","86,2800","4,1250","180","LED_3"
"R67","330E","TopLayer","RC0603","86,3503","6,9250","180","RC0603"
"VD23","SK34SMA","BottomLayer","SMA","86,3750","10,2500","360","Schottky Rectifier"
"XP15","MIF2X02PRP","TopLayer","MIF2X02PRP","78,7000","6,5650","270","MIF2X02PRP"
"XP6","SMA-JR","TopLayer","SMA-JR","113,0000","5,2500","180","SMA-JR"
"VT20","BC857","BottomLayer","SOT-23(123)","8,6434","30,3660","180","PNP 100ma transistor"
"VT19","FQD7P20","BottomLayer","D-PAK(TO-252AA)","7,3500","24,4450","180","HEXFET Power MOSFET"
"R96","10k","BottomLayer","RC0603","24,8997","64,0250","360","RC0603"
"R95","10k","BottomLayer","RC0603","39,4503","61,6000","180","RC0603"
"C81","0.1uF","TopLayer","CC0603","57,0500","45,3750","180","CC0603"
"C53","0.47uF","BottomLayer","CC0603","63,3500","37,6000","90","CC0603"
"M1","NanoPi Neo Core","TopLayer","NANOPINEO_CORE","61,6375","43,2350","180","Nano Pi Neo Core Allwinner H3 based embedded module"
"R93","10k","BottomLayer","RC0603","33,9497","63,7750","360","RC0603"
"R92","10k","BottomLayer","RC0603","14,8497","63,7250","360","RC0603"
"R91","330k","BottomLayer","RC0603","-3,6503","63,9000","360","RC0603"
"R90","330k","BottomLayer","RC0603","-0,6753","52,8750","360","RC0603"
"C20","1000uFx6.3V","TopLayer","CC8X3.5","125,0250","25,4000","0","Radial capacitor"
"XP3","C70710M0060492","BottomLayer","SCVW06A25020","64,2750","14,3425","90","SCV-W06A25-020"
"L6","SR1307-680KLB","TopLayer","SR1307","7,4000","27,8250","90","Power inductor"
"C52","0.47uF","BottomLayer","CC0603","61,8250","37,6000","90","CC0603"
"R6","330E","TopLayer","RC0603","101,2003","6,9000","180","RC0603"
"R3","330E","BottomLayer","RC0603","29,2753","3,6500","180","RC0603"
"C93","0.1uF","BottomLayer","CC0603","53,0500","10,5250","90","CC0603"
"REP4","REPER_POINT_1.2","TopLayer","REPER1.2","115,7500","84,7250","0","REPER1.2"
"REP3","REPER_POINT_1.2","TopLayer","REPER1.2","5,2250","14,1250","0","REPER1.2"
"VD6","S3M","BottomLayer","SMC","18,5250","28,2750","90","Schottky Rectifier"
"C92","0.1uF","BottomLayer","CC0603","106,4000","55,4000","180","CC0603"
"C91","0.1uF","BottomLayer","CC0603","103,7500","57,2000","270","CC0603"
"R89","4k7","TopLayer","RC0603","56,5503","54,5500","180","RC0603"
"R88","4k7","TopLayer","RC0603","56,5503","52,8750","180","RC0603"
"DA6","KX122-1020","TopLayer","LGA-12","60,4250","51,3250","0",""
"C90","0.1uF","TopLayer","CC0603","56,4250","51,0750","180","CC0603"
"C89","10uF","TopLayer","CC0805","63,4250","49,6500","90","CC0805"
"C88","0.1uF","TopLayer","CC0603","62,1000","54,5250","180","CC0603"
"VD24","BAT54S","BottomLayer","SOT-23(GSD)","53,2566","14,7340","360","1.0 Ampere General Purpose Rectifier"
"R87","27k","BottomLayer","RC0603","50,2000","17,3253","270","RC0603"
"C87","0.1uF","BottomLayer","CC0603","52,9000","17,2000","180","CC0603"
"C86","0.1uF","BottomLayer","CC0603","23,3500","6,9000","360","CC0603"
"XP8","SRJ41801ANL","TopLayer","ETHERNET_RJ45_4PORTS","74,3000","77,9580","180","4 Ports RJ45 Ethernet connector"
"XP14","MIF2X02PRP","TopLayer","MIF2X02PRP","16,2750","6,5650","270","MIF2X02PRP"
"XP13","MIF2X02PRP","TopLayer","MIF2X02PRP","5,9000","6,5650","270","MIF2X02PRP"
"XP12","MIF2X02PRP","TopLayer","MIF2X02PRP","16,3500","83,6650","90","MIF2X02PRP"
"XP10","MIF2X02PRP","TopLayer","MIF2X02PRP","26,6250","83,6650","90","MIF2X02PRP"
"XP9","MIF2X02PRP","TopLayer","MIF2X02PRP","6,0750","83,6650","90","MIF2X02PRP"
"XP5","PBD-16","TopLayer","PBD16","103,8850","41,8800","180","PBD-16"
"XP2","KSL1-191-4P-W","TopLayer","USB_A_REAR","108,3000","76,4250","270","USB A rear side connector"
"XP1","PLS2-08","TopLayer","PLS2-08","49,6750","42,5000","270","PLS2-08"
"VT18","BC817-40","BottomLayer","SOT-23(123)","21,6590","66,7434","270","NPN 500ma transistor"
"VT17","FQD7P20","BottomLayer","D-PAK(TO-252AA)","16,3700","71,1500","90","HEXFET Power MOSFET"
"VT16","BC817-40","BottomLayer","SOT-23(123)","39,2340","64,4684","270","NPN 500ma transistor"
"VT15","FQD7P20","BottomLayer","D-PAK(TO-252AA)","37,0000","71,1500","90","HEXFET Power MOSFET"
"VT14","BC817-40","BottomLayer","SOT-23(123)","32,1340","66,7434","270","NPN 500ma transistor"
"VT13","BC817-40","BottomLayer","SOT-23(123)","11,5340","66,7684","270","NPN 500ma transistor"
"VT12","FQD7P20","BottomLayer","D-PAK(TO-252AA)","26,7700","71,1500","90","HEXFET Power MOSFET"
"VT11","FQD7P20","BottomLayer","D-PAK(TO-252AA)","6,2200","71,1500","90","HEXFET Power MOSFET"
"VT10","BC846B","BottomLayer","SOT-23(123)","115,6684","28,7660","180","BC846BLT1"
"VT9","IRLML6402","BottomLayer","SOT-23(123)","119,6160","28,6816","90","HEXFET Power MOSFET"
"VT8","BC857","BottomLayer","SOT-23(123)","9,6340","44,4184","270","PNP 100ma transistor"
"VT7","FQD7P20","BottomLayer","D-PAK(TO-252AA)","3,3250","44,2550","180","HEXFET Power MOSFET"
"VT6","BC846B","TopLayer","SOT-23(123)","122,3840","54,5667","90","BC846BLT1"
"VT5","IRLML6402","TopLayer","SOT-23(123)","125,9660","54,6183","270","HEXFET Power MOSFET"
"VT4","BC846B","TopLayer","SOT-23(123)","100,6184","33,9340","180","BC846BLT1"
"VT3","IRLML6402","TopLayer","SOT-23(123)","104,5160","35,1184","270","HEXFET Power MOSFET"
"VT2","BC846B","TopLayer","SOT-23(123)","98,7660","30,3684","270","BC846BLT1"
"VT1","IRLML6402","TopLayer","SOT-23(123)","95,1340","30,5816","90","HEXFET Power MOSFET"
"VD22","BAT54A","BottomLayer","SOT-23(123)","27,2184","7,5160","180","1.0 Ampere General Purpose Rectifier"
"VD21","SMBJ28A","TopLayer","SMB","24,6000","9,1750","90","SMBJ"
"VD20","BZX84C39","BottomLayer","SOT-23(123)","5,3410","35,1566","90","Zener Voltage Regulator Diode"
"VD15","BAT54C","TopLayer","SOT-23(123)","62,8684","44,7340","180","BAT54C"
"VD14","BZX84C15","BottomLayer","SOT-23(123)","12,6934","30,3660","180","Zener Voltage Regulator Diode"
"VD13","SK34SMA","BottomLayer","SMA","32,0250","51,7000","270","Schottky Rectifier"
"VD12","BZX84C13","BottomLayer","SOT-23(123)","14,9184","50,4160","180","Zener Voltage Regulator Diode"
"VD11","BZX84C15","BottomLayer","SOT-23(123)","13,1660","44,4066","90","Zener Voltage Regulator Diode"
"VD10","S3M","BottomLayer","SMC","16,1750","38,1250","180","Schottky Rectifier"
"VD9","SK34SMA","BottomLayer","SMA","39,5875","38,5499","90","Schottky Rectifier"
"VD8","SK34SMA","TopLayer","SMA","38,1250","51,5750","270","Schottky Rectifier"
"VD7","1.5KE","TopLayer","DO-201","27,5250","17,6750","90","1.5KE"
"VD5","LED_3","TopLayer","LED3","101,3200","4,1250","180","LED_3"
"VD4","LED_3","TopLayer","LED3","24,7450","4,1250","360","LED_3"
"VD3","SK34SMA","BottomLayer","SMA","38,7250","30,8250","90","Schottky Rectifier"
"VD2","PESD2CAN","BottomLayer","SOT-23(123)","23,0316","15,9090","360","TVS for CAN"
"VD1","BAT54S","BottomLayer","SOT-23(GSD)","42,4566","19,6090","360","1.0 Ampere General Purpose Rectifier"
"REP2","REPER_POINT_1.2","BottomLayer","REPER1.2","115,7500","84,7500","90","REPER1.2"
"REP1","REPER_POINT_1.2","BottomLayer","REPER1.2","5,2250","14,1250","90","REPER1.2"
"R85","100k","BottomLayer","RC0603","23,5497","8,5000","360","RC0603"
"R84","4k7","BottomLayer","RC0603","27,4250","10,9247","90","RC0603"
"R83","330k","BottomLayer","RC0603","9,1497","54,3750","0","RC0603"
"R81","10k","BottomLayer","RC0603","16,3753","67,9000","180","RC0603"
"R78","10k","BottomLayer","RC0603","37,0253","67,9000","180","RC0603"
"R75","330k","BottomLayer","RC0603","9,0247","62,2750","360","RC0603"
"R72","10k","BottomLayer","RC0603","26,8003","67,9000","180","RC0603"
"R71","10k","BottomLayer","RC0603","6,2503","67,9000","180","RC0603"
"R66","10k","BottomLayer","RC0603","112,0253","27,7500","180","RC0603"
"R65","10k","BottomLayer","RC0603","119,6497","31,7750","360","RC0603"
"R64","330E","BottomLayer","RC0603","58,3503","81,5500","180","RC0603"
"R63","330E","BottomLayer","RC0603","92,5997","81,8000","360","RC0603"
"R62","330E","BottomLayer","RC0603","52,4497","81,5500","360","RC0603"
"R61","330E","BottomLayer","RC0603","80,6997","82,0500","360","RC0603"
"R60","330E","BottomLayer","RC0603","76,8497","81,7250","360","RC0603"
"R59","330E","BottomLayer","RC0603","115,5997","80,7250","360","RC0603"
"R58","330E","BottomLayer","RC0603","66,6247","81,5750","360","RC0603"
"R57","330E","BottomLayer","RC0603","96,1747","81,7750","360","RC0603"
"R56","2.49k 1%","BottomLayer","RC0603","106,2003","57,3000","180","RC0603"
"R55","22E","BottomLayer","R2512","26,0750","55,0250","360","Resistor 2512 1W"
"R54","10k","TopLayer","RC0603","95,8997","52,1000","360","RC0603"
"R53","4k7","TopLayer","RC0603","70,6753","44,9250","180","RC0603"
"R52","4k7","TopLayer","RC0603","67,7497","44,9250","360","RC0603"
"R51","0E1","TopLayer","R2512","38,7500","73,1250","90","Resistor 2512 1W"
"R50","0E1","TopLayer","R2512","17,9500","73,4000","90","Resistor 2512 1W"
"R49","10k","BottomLayer","RC0603","-6,8753","60,7750","360","RC0603"
"R47","330k","BottomLayer","RC0603","-4,4250","61,5497","90","RC0603"
"R46","330k","BottomLayer","RC0603","-3,9500","55,4497","270","RC0603"
"R45","0E1","TopLayer","R2512","3,1500","73,4000","90","Resistor 2512 1W"
"R44","0E1","TopLayer","R2512","10,6500","73,4000","90","Resistor 2512 1W"
"R43","10k","BottomLayer","RC0603","9,1503","56,2250","180","RC0603"
"R42","10k","BottomLayer","RC0603","9,0253","60,4750","180","RC0603"
"R41","330k","BottomLayer","RC0603","6,6750","55,4503","270","RC0603"
"R40","330k","BottomLayer","RC0603","6,6750","61,5247","90","RC0603"
"R39","4k7","BottomLayer","RC0603","24,2253","58,1750","180","RC0603"
"R38","220k","BottomLayer","RC1206","12,8500","33,2500","180","RC1206"
"R37","22E","BottomLayer","R2512","26,0750","50,6750","360","Resistor 2512 1W"
"R36","220k","BottomLayer","RC1206","10,3250","47,6000","180","RC1206"
"R35","220k","BottomLayer","RC1206","14,6250","47,5750","180","RC1206"
"R34","220k","BottomLayer","RC1206","16,0750","44,4000","270","RC1206"
"R33","10k 1%","BottomLayer","RC0603","37,1750","41,0253","270","RC0603"
"R32","130k 1%","BottomLayer","RC0603","34,4000","40,9997","90","RC0603"
"R31","240k","BottomLayer","RC0603","32,7750","41,0253","270","RC0603"
"R30","15k","BottomLayer","RC0603","29,5000","41,4997","270","RC0603"
"R29","12k","TopLayer","RC0603","34,0497","35,9000","360","RC0603"
"R28","105k","BottomLayer","RC0603","29,5000","38,5503","270","RC0603"
"R27","10k","BottomLayer","RC0603","34,4000","43,9247","90","RC0603"
"R26","220k","BottomLayer","RC1206","5,3500","30,7000","270","RC1206"
"R25","220k","BottomLayer","RC1206","8,5750","33,2500","360","RC1206"
"R24","10k","TopLayer","RC0603","120,5000","51,6253","270","RC0603"
"R23","11k1 1%","BottomLayer","RC0603","33,2500","24,9497","90","RC0603"
"R22","240k","BottomLayer","RC0603","32,4247","22,4000","360","RC0603"
"R21","12k","BottomLayer","RC0603","33,8747","29,0000","360","RC0603"
"R20","48k7 1%","BottomLayer","RC0603","32,4753","27,2500","180","RC0603"
"R19","10k","TopLayer","RC0603","97,5000","35,6997","90","RC0603"
"R18","10k","TopLayer","RC0603","104,6247","32,0000","360","RC0603"
"R17","47k","TopLayer","RC0603","108,5000","35,5747","90","RC0603"
"R16","10k","TopLayer","RC0603","98,5497","27,2000","360","RC0603"
"R15","10k","TopLayer","RC0603","95,1253","33,5500","180","RC0603"
"R14","110k 1%","TopLayer","RC0603","91,0500","44,1747","270","RC0603"
"R13","1M 1%","TopLayer","RC0603","88,6253","43,4000","180","RC0603"
"R12","1E","TopLayer","RC0603","83,3250","40,4497","90","RC0603"
"R11","10k","TopLayer","RC0603","125,7497","51,7250","360","RC0603"
"R10","10k","TopLayer","RC0603","50,9003","33,1500","180","RC0603"
"R9","120E","TopLayer","RC0805","42,5000","10,9500","180","RC0805"
"R8","10k","TopLayer","RC0603","52,0250","50,2997","90","RC0603"
"R7","100E","TopLayer","RC0603","51,7750","37,6747","90","RC0603"
"R5","27k","BottomLayer","RC0603","42,0753","22,2000","180","RC0603"
"R4","220k","BottomLayer","RC1206","39,3250","17,6000","360","RC1206"
"R2","10k","TopLayer","RC0603","125,7000","41,2997","90","RC0603"
"R1","NCP18XH103J03RB","TopLayer","RC0603","125,6999","38,3252","90","RC0603"
"QR3","25MHz","TopLayer","AC5032_2","110,2250","55,4750","90","AC5032/2"
"QR2","MS3V-T1R","TopLayer","MS3V-T1R","71,0750","53,0000","360","CRYSTAL_32768 Hz"
"QR1","NX5032GA-12.000MHz LN-CD-1","TopLayer","AC5032_2","54,5000","35,4000","270","AC5032/2"
"M2","RL-UM12BS V 1.0","BottomLayer","RTL8188_MODULE","111,0875","20,1750","360",""
"L5","2.4nH","BottomLayer","L0402","105,3250","7,8000","180","L0402"
"L4","BLM18HE152SN1","TopLayer","L0603","104,8500","51,3997","90","L0603"
"L3","15uH","TopLayer","SDR0805","36,1000","43,1750","90","SDR0805"
"L2","15uH","TopLayer","SDR0805","35,9750","28,1500","180","SDR0805"
"L1","6.8 uH","TopLayer","SDR0805","87,9000","27,2250","90","SDR0805"
"FU4","RXE-250","TopLayer","RXE-250_FLAT","23,4250","28,4500","90",""
"FU3","MF-SMDF050","TopLayer","MF-SMDF","113,1500","66,4250","270","MF-SMDF"
"FU2","MICROSMD010F","BottomLayer","RC1210","15,8250","15,2500","270","MICROSMD"
"FU1","MICROSMD010F","BottomLayer","RC1210","22,5750","11,1250","180","MICROSMD"
"DD4","RTL8305NB","TopLayer","QFN48_ISL","99,9750","57,5000","270",""
"DD3","PCF8563","TopLayer","SO-8","69,0190","49,0100","270",""
