Altium Designer Pick and Place Locations
E:\Projects_Files\Projects\Altium_Projects\VideoMonitoring\VM03\Project Outputs for VM03\Pick Place\Pick Place for VM03.csv

========================================================================================================================
File Design Information:

Date:       20.05.19
Time:       09:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"S2","DTSM-61N","TopLayer","DTSM-61N","25,5750","74,3500","90","Switch, Single Pole, Single Throw, Normally Open"
"VT13","IRLML6402","TopLayer","SOT-23(123)","108,3184","104,9340","180","HEXFET Power MOSFET"
"R85","10k","TopLayer","RC0603","105,5000","104,9753","270","RC0603"
"VD34","LED_0805","TopLayer","LED0805","108,6500","81,2500","360",""
"VD33","LED_0805","TopLayer","LED0805","108,6500","85,5100","360",""
"VD32","LED_0805","TopLayer","LED0805","108,6500","89,9300","360",""
"R84","1k","TopLayer","RC0603","111,8997","81,2500","360","RC0603"
"R83","1k","TopLayer","RC0603","111,8997","85,5100","360","RC0603"
"J5","PLS-02","TopLayer","PLS-02","100,9500","102,9700","90","PLS-02"
"ANT1","ANTENNA IFA GSM 3G","TopLayer","IFA_GSM_3G","36,8744","101,3992","360","1.6mm Er=4.4"
"DA4","LM358","TopLayer","SO-8","80,8940","73,7350","90",""
"R82","n.p","BottomLayer","RC0603","138,3753","107,3500","180","RC0603"
"R81","10k","TopLayer","RC0603","141,1759","87,7998","180","RC0603"
"R80","n.p","TopLayer","RC1206","152,8250","94,0500","180","RC1206"
"R79","n.p","BottomLayer","RC1206","137,8500","88,0250","270","RC1206"
"R78","n.p","BottomLayer","RC1206","122,8500","62,4250","360","RC1206"
"R77","n.p","BottomLayer","RC1206","141,9750","78,2750","180","RC1206"
"R76","n.p","BottomLayer","RC1206","138,8750","58,0250","270","RC1206"
"VD31","LED_0805","TopLayer","LED0805","108,6500","94,5300","360",""
"R75","1k","TopLayer","RC0603","111,8997","89,9500","360","RC0603"
"R74","1k","TopLayer","RC0603","111,8997","94,5300","360","RC0603"
"R73","10k","TopLayer","RC0603","200,5003","60,9000","180","RC0603"
"R3","NCP18XH103J03RB","TopLayer","RC0603","203,9250","60,4997","90","RC0603"
"S1","DTSM-61N","TopLayer","DTSM-61N","64,3000","57,8996","360","Switch, Single Pole, Single Throw, Normally Open"
"XP4","USB1X04SD-H-CN","TopLayer","USB_A_FRONT","122,6875","113,3875","90","Vertical USB connetctor,type A.THR"
"C33","DRE10/2.5","TopLayer","CAP_D12.5_H25","194,0500","103,0250","0",""
"C32","DRE10/2.5","TopLayer","CAP_D12.5_H25","198,2000","115,6000","0",""
"XP8","DG330-2P","TopLayer","DG330-2P","96,1000","56,9000","0","Degson 2 pin connector rear"
"XP10","DG330-2P","TopLayer","DG330-2P","86,1000","56,9000","0","Degson 2 pin connector rear"
"XP9","DG330-2P","TopLayer","DG330-2P","76,1000","56,9000","0","Degson 2 pin connector rear"
"XP7","DG330-2P","TopLayer","DG330-2P","106,1000","56,9000","0","Degson 2 pin connector rear"
"XP3","DG330-2P","TopLayer","DG330-2P","113,2000","115,7250","0","Degson 2 pin connector rear"
"XP2","DG330-2P","TopLayer","DG330-2P","103,2000","115,7250","0","Degson 2 pin connector rear"
"R72","n.p","TopLayer","RC0603","183,4300","77,7661","270","RC0603"
"R71","n.p","TopLayer","RC0603","185,0300","77,7661","270","RC0603"
"XP11","PLS03","TopLayer","PLS-03","203,4000","54,7000","90","PLS03"
"XP6","C70710M0060492","TopLayer","SCVW06A25020","40,8675","57,3000","360","SCV-W06A25-020"
"XP1","BH-40","TopLayer","BH-40","162,0700","115,9700","180","2.54mm connector with key"
"VT12","BC857","TopLayer","SOT-23(123)","151,3340","75,5066","90","PNP 100ma transistor"
"VT11","FQD7P20","TopLayer","D-PAK(TO-252AA)","141,4500","74,3691","180","HEXFET Power MOSFET"
"VT10","BC817-40","TopLayer","SOT-23(123)","129,7066","77,5660","360","NPN 500ma transistor"
"VT9","BC817-40","TopLayer","SOT-23(123)","130,7803","68,0160","360","NPN 500ma transistor"
"VT8","FQD7P20","TopLayer","D-PAK(TO-252AA)","123,1500","79,8800","180","HEXFET Power MOSFET"
"VT7","FQD7P20","TopLayer","D-PAK(TO-252AA)","123,1500","70,3177","180","HEXFET Power MOSFET"
"VT6","BC857","TopLayer","SOT-23(123)","147,9000","65,2066","90","PNP 100ma transistor"
"VT5","FQD7P20","TopLayer","D-PAK(TO-252AA)","142,7600","56,3500","270","HEXFET Power MOSFET"
"VT4","BC846B","TopLayer","SOT-23(123)","29,6160","81,5934","270","BC846BLT1"
"VT3","IRLML6402","TopLayer","SOT-23(123)","33,5934","90,9340","180","HEXFET Power MOSFET"
"VT2","BC846B","TopLayer","SOT-23(123)","168,2934","103,6340","180","BC846BLT1"
"VT1","IRLML6402","TopLayer","SOT-23(123)","174,3777","102,7870","180","HEXFET Power MOSFET"
"VD30","BZX84C13","TopLayer","SOT-23(123)","150,4160","71,0934","270","Zener Voltage Regulator Diode"
"VD29","BZX84C15","TopLayer","SOT-23(123)","147,8660","75,4934","270","Zener Voltage Regulator Diode"
"VD28","S3M","TopLayer","SMC","160,8000","76,8250","270","Schottky Rectifier"
"VD27","SK34SMA","TopLayer","SMA","142,1000","82,1500","270","Schottky Rectifier"
"VD26","SK34SMA","TopLayer","SMA","129,2856","86,0250","90","Schottky Rectifier"
"VD25","BAT54C","TopLayer","SOT-23(123)","187,2411","83,7340","180","BAT54C"
"VD24","LED_0805","TopLayer","LED0805","77,0000","66,0500","90",""
"VD23","LED_0805","TopLayer","LED0805","85,2000","66,0500","90",""
"VD22","PESD2CAN","TopLayer","SOT-23(123)","96,1660","66,1934","270","TVS for CAN"
"VD21","LED_0805","TopLayer","LED0805","69,3750","81,2500","360",""
"VD20","LED_0805","TopLayer","LED0805","63,2500","49,4000","360",""
"VD19","LED_0805","TopLayer","LED0805","69,3750","89,9300","360",""
"VD18","LED_0805","TopLayer","LED0805","95,9000","81,2500","360",""
"VD17","LED_0805","TopLayer","LED0805","95,9000","85,5100","360",""
"VD16","LED_0805","TopLayer","LED0805","95,9000","89,9300","360",""
"VD15","LED_0805","TopLayer","LED0805","95,9000","94,5300","360",""
"VD14","LED_0805","TopLayer","LED0805","82,5000","85,5100","360",""
"VD13","LED_0805","TopLayer","LED0805","69,3750","94,5300","360",""
"VD12","LED_0805","TopLayer","LED0805","82,5000","89,9300","360",""
"VD11","LED_0805","TopLayer","LED0805","82,5000","94,5300","360",""
"VD10","LED_0805","TopLayer","LED0805","82,6750","81,2500","360",""
"VD9","LED_0805","TopLayer","LED0805","69,3750","85,5100","360",""
"VD8","LED_0805","TopLayer","LED0805","201,0500","91,2000","180",""
"VD7","SK34SMA","TopLayer","SMA","181,9250","96,7000","90","Schottky Rectifier"
"VD6","SK34SMA","TopLayer","SMA","157,7500","61,5330","180","Schottky Rectifier"
"VD5","BZX84C39","TopLayer","SOT-23(123)","139,6557","67,7840","180","Zener Voltage Regulator Diode"
"VD4","1.5KE150A","TopLayer","DO-201","123,3000","52,6000","90","1.5KE"
