Altium Designer Pick and Place Locations
F:\Projects_Files\Projects\Altium_Projects\VideoMonitoring\VM03_hv5\Project Outputs for VM03_hv5\Pick Place\Pick Place for VM03_hv5.csv

========================================================================================================================
File Design Information:

Date:       13.01.20
Time:       09:43
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"FU5","MICROSMD010F","TopLayer","RC1210","41,1000","87,4250","270","MICROSMD"
"XP8","SRJ46282NL","TopLayer","SRJ46282NL","90,1000","93,6000","180",""
"C66","0.1uF","BottomLayer","CC0603","121,6273","75,3250","270","CC0603"
"VT25","BC817-40","BottomLayer","SOT-23(123)","81,7410","82,3943","90","NPN 500ma transistor"
"VT24","BC817-40","BottomLayer","SOT-23(123)","95,1316","80,8340","360","NPN 500ma transistor"
"VT23","IRF7104","BottomLayer","SO-8","88,1450","82,1190","180","Dual P-channel MOSFET. 20V,2.3A, 0.25Ohm"
"VT22","BC817-40","BottomLayer","SOT-23(123)","58,9340","75,6807","270","NPN 500ma transistor"
"TR2","SG2405G","TopLayer","SG2405G","95,8625","80,3200","360","Ehternet transformer Gigabit or 2 LAN10/100"
"TR1","SG2405G","TopLayer","SG2405G","66,1375","80,6950","360","Ehternet transformer Gigabit or 2 LAN10/100"
"R119","10k","BottomLayer","RC0603","78,4253","83,5500","180","RC0603"
"R118","10k","BottomLayer","RC0603","98,2500","81,1003","270","RC0603"
"R117","10k","BottomLayer","RC0603","83,9250","80,0497","90","RC0603"
"R115","10k","BottomLayer","RC0603","92,2000","80,0503","270","RC0603"
"R113","10k","BottomLayer","RC0603","58,3253","72,4500","180","RC0603"
"R112","10k","BottomLayer","RC0603","66,1750","76,6747","90","RC0603"
"R111","10k","BottomLayer","RC0603","103,1003","70,8500","180","RC0603"
"R110","10k","BottomLayer","RC0603","59,6497","78,6500","360","RC0603"
"R108","10k","BottomLayer","RC0603","67,3500","80,5997","90","RC0603"
"R106","10k","BottomLayer","RC0603","104,0997","76,8750","360","RC0603"
"R104","10k","BottomLayer","RC0603","66,7747","74,0250","360","RC0603"
"R103","10k","BottomLayer","RC0603","82,0497","78,0250","360","RC0603"
"R102","10k","BottomLayer","RC0603","106,6003","70,8750","180","RC0603"
"R101","10k","BottomLayer","RC0603","62,5747","78,6500","360","RC0603"
"R99","10k","BottomLayer","RC0603","75,2750","80,6253","270","RC0603"
"R97","10k","BottomLayer","RC0603","107,0997","76,8750","360","RC0603"
"R94","330E","BottomLayer","RC0603","72,4753","87,6000","180","RC0603"
"C99","0.1uFx250V","TopLayer","CC1206","82,1500","77,0000","360","CC1206"
"C98","0.1uFx250V","BottomLayer","CC1206","54,7000","74,2750","180","CC1206"
"C97","0.1uF","TopLayer","CC0603","107,5500","78,8250","360","CC0603"
"C96","0.1uF","TopLayer","CC0603","107,5500","75,8500","360","CC0603"
"C95","33pF","TopLayer","CC0603","88,3250","25,6750","180","CC0603"
"VT21","BC817-40","TopLayer","SOT-23(123)","124,8316","31,1910","360","NPN 500ma transistor"
"R82","100k","TopLayer","RC0603","127,8750","30,9753","270","RC0603"
"R80","10k","TopLayer","RC0603","127,1003","28,6250","180","RC0603"
"R77","10k","TopLayer","RC0603","110,8497","29,9000","360","RC0603"
"DD5","SN74HC4066D","TopLayer","SO14","117,3500","28,9440","0","SN74HC4066D"
"C83","0.1uF","TopLayer","CC0603","110,7750","31,7500","180","CC0603"
"TP9","TESTPOINT1","BottomLayer","TESTPOINT1","59,1000","64,1500","90","TESTPOINT1"
"TP8","TESTPOINT1","BottomLayer","TESTPOINT1","21,1750","86,1500","90","TESTPOINT1"
"TP7","TESTPOINT1","BottomLayer","TESTPOINT1","27,3000","82,8500","90","TESTPOINT1"
"TP6","TESTPOINT1","BottomLayer","TESTPOINT1","59,4000","47,2750","90","TESTPOINT1"
"TP5","TESTPOINT1","BottomLayer","TESTPOINT1","59,1000","50,5750","90","TESTPOINT1"
"TP4","TESTPOINT1","BottomLayer","TESTPOINT1","61,6500","45,2250","90","TESTPOINT1"
"TP3","TESTPOINT1","BottomLayer","TESTPOINT1","59,1000","57,4750","90","TESTPOINT1"
"TP2","TESTPOINT1","BottomLayer","TESTPOINT1","59,1000","54,0000","90","TESTPOINT1"
"TP1","TESTPOINT1","BottomLayer","TESTPOINT1","59,1000","60,7500","180","TESTPOINT1"
"R74","10k","BottomLayer","RC0603","85,8250","42,4753","270","RC0603"
"BAT1","CR2032-VBY4","TopLayer","CR2032_ONBOARD","75,3750","55,8500","90",""
